,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling,fit_r2
Farsb,ENSMUSG00000026245,1,78488897,78417975,-,0.0841,9.106589,-1.161424160003662,False,,,,,,,,,,,,,,,,-1.1611988544464111
Ap1s3,ENSMUSG00000054702,1,79671972,79606876,-,0.0989,2.2425096,-1.1233439445495605,False,,,,,,,,,,,,,,,,-0.8264719247817993
Wdfy1,ENSMUSG00000073643,1,79776143,79702262,-,-0.0398,1.6384885,-0.610670804977417,False,,,,,,,,,,,,,,,,-0.5777568817138672
Cul3,ENSMUSG00000004364,1,80340480,80264923,-,-0.0703,1.1507928,-1.1168453693389893,False,,,,,,,,,,,,,,,,-0.6271517276763916
Dock10,ENSMUSG00000038608,1,80758527,80501073,-,-0.0294,10.395345,-9.576533317565918,False,,,,,,,,,,,,,,,,-4.791538715362549
Trip12,ENSMUSG00000026219,1,84840516,84721189,-,-0.0388,1.121477,-1.6197965145111084,False,,,,,,,,,,,,,,,,-1.4349772930145264
Sp110,ENSMUSG00000070034,1,85598817,85576899,-,-0.0453,0.07831982,-0.9322689771652222,False,,,,,,,,,,,,,,,,-0.18222260475158691
A630001G21Rik,ENSMUSG00000052760,1,85778643,85717083,-,-0.0118,1.1150813,-0.9362512826919556,False,,,,,,,,,,,,,,,,-0.4114032983779907
Ncl,ENSMUSG00000026234,1,86359400,86344719,-,0.1617,0.07779451,-1.232618808746338,False,,,,,,,,,,,,,,,,-0.24419331550598145
Hjurp,ENSMUSG00000044783,1,88277633,88262471,-,0.0349,0.36320245,0.4314897656440735,True,0.21657045162628755,1.2552352073073088,0.38260043527310855,7.76335519529351,0.4462919835001231,0.05368231236934662,0.18313418328762054,0.3792796162561464,0.0,0.0,0.39094499852732356,0.13624126730956881,0.38194245808147664,0.31826396668406987,2.3295193044982,0.47788047790527344
Ilkap,ENSMUSG00000026309,1,91398815,91373861,-,0.0182,0.3021654,-1.2160258293151855,False,,,,,,,,,,,,,,,,-0.29662179946899414
Hdac4,ENSMUSG00000026313,1,92195699,91928779,-,-0.0974,1.1459383,-0.12634718418121338,False,,,,,,,,,,,,,,,,-0.07203352451324463
Ndufa10,ENSMUSG00000026260,1,92473860,92439010,-,0.136,0.1905778,-2.0270724296569824,False,,,,,,,,,,,,,,,,0.019774138927459717
Cops9,ENSMUSG00000073616,1,92641985,92637145,-,0.1506,0.031364895,-4.927870273590088,False,,,,,,,,,,,,,,,,0.005726456642150879
Hdlbp,ENSMUSG00000034088,1,93478815,93405940,-,0.1264,0.42416382,-0.7305207252502441,False,,,,,,,,,,,,,,,,-0.6261857748031616
Dtymk,ENSMUSG00000026281,1,93801934,93792576,-,0.108,0.38807172,0.4847308397293091,True,0.18869404737988762,0.7600312532139537,0.3355883533225301,11.372781878657632,0.7808839064836499,0.08653964102268219,0.14933355152606964,0.2969630405274331,0.0,0.0,0.31489549612002043,0.20090164716404152,0.4403341045153552,0.5213215747351024,1.946095106393133,0.5159930884838104
St8sia4,ENSMUSG00000040710,1,95667571,95587682,-,-0.0484,1.6681855,-1.0315027236938477,False,,,,,,,,,,,,,,,,-0.8962351083755493
D1Ertd622e,ENSMUSG00000044768,1,97662074,97606318,-,0.0048,0.13617577,-0.2912435531616211,False,,,,,,,,,,,,,,,,0.043477416038513184
Bcl2,ENSMUSG00000057329,1,106714274,106538178,-,-0.1678,2.3932583,0.6031248569488525,True,0.35335504653031075,0.19823388058575114,0.3962078681795681,8.716486188737996,0.9955577784776688,0.3267563581466675,0.15508128702640533,0.3085621188621406,0.0,0.0,0.4595211335386782,1.6481111771245307,0.42584077119506125,0.4784484134039153,2.280174902351689,0.6842656433582306
Vps4b,ENSMUSG00000009907,1,106796728,106764071,-,0.0098,1.3869442,-1.0520284175872803,False,,,,,,,,,,,,,,,,-0.41999971866607666
Tsn,ENSMUSG00000026374,1,118311739,118294778,-,0.0815,0.078556076,-1.21755051612854,False,,,,,,,,,,,,,,,,-0.034451961517333984
Ptpn4,ENSMUSG00000026384,1,119837613,119652467,-,-0.0116,2.6129882,-1.519080638885498,False,,,,,,,,,,,,,,,,-1.5155847072601318
Dbi,ENSMUSG00000026385,1,120121078,120113280,-,0.3449,0.016803913,-4.70720911026001,False,,,,,,,,,,,,,,,,0.061582088470458984
Insig2,ENSMUSG00000003721,1,121332589,121304353,-,-0.0603,0.5064941,-0.39465951919555664,False,,,,,,,,,,,,,,,,-0.21603262424468994
Ddx18,ENSMUSG00000001674,1,121567989,121553835,-,-0.0634,0.18725555,-2.694127082824707,False,,,,,,,,,,,,,,,,-0.2533515691757202
Actr3,ENSMUSG00000026341,1,125435727,125392905,-,0.2374,0.11436648,-0.7614330053329468,False,,,,,,,,,,,,,,,,-0.14908909797668457
Tmem163,ENSMUSG00000026347,1,127679548,127486546,-,0.1472,10.217073,0.07122474908828735,False,0.08226492669119265,0.027055526774402233,0.2114043671415256,14.448444015913354,15.2672678232193,0.831195056438446,0.07717287540435791,0.2887570968356894,0.0,0.0,0.020343523320813284,2.6525419560091117,0.2331708348837906,0.6637458458155113,3.2682588825372143,0.16058290004730225
Mcm6,ENSMUSG00000026355,1,128359664,128331590,-,0.2142,0.18751165,0.2298164963722229,True,0.5809726407427491,1.4815272944970077,0.19513498263682508,11.811043787973263,0.3485125325620174,0.14880652725696564,0.661812961101532,0.3556524368367879,0.0,0.0,0.4492998781493379,0.37135773430763785,1.509531567001651,0.4426895432123113,3.001951290815476,0.31272411346435547
Dars,ENSMUSG00000026356,1,128417368,128363707,-,0.0592,0.3382941,-0.41861867904663086,False,,,,,,,,,,,,,,,,0.03748232126235962
Cd55,ENSMUSG00000026399,1,130462744,130439027,-,-0.1023,0.55445457,-0.344632625579834,False,,,,,,,,,,,,,,,,0.13949495553970337
Mapkapk2,ENSMUSG00000016528,1,131097826,131053700,-,0.0272,0.80441725,-0.13363027572631836,False,,,,,,,,,,,,,,,,-0.12019526958465576
Ikbke,ENSMUSG00000042349,1,131279606,131254343,-,-0.0965,0.41292584,-0.31466758251190186,False,,,,,,,,,,,,,,,,-0.2656973600387573
Srgap2,ENSMUSG00000026425,1,131527352,131285251,-,-0.0002,6.616202,-0.9864166975021362,False,,,,,,,,,,,,,,,,-0.5354887247085571
Snrpe,ENSMUSG00000090553,1,133610291,133603871,-,0.2839,0.047256332,-1.477853775024414,False,,,,,,,,,,,,,,,,0.030673980712890625
Lax1,ENSMUSG00000051998,1,133690108,133679091,-,-0.0507,0.9705549,0.1963481307029724,True,0.11041660647696673,0.21170068398015382,0.24092093002987588,13.908726960846606,0.7183656468987465,0.13817735016345978,0.09088519215583801,0.2543477771378752,0.0,0.0,0.06796373404354913,0.4558614063294054,0.30907488742779043,0.7971865105106504,3.106948081022639,0.24055153131484985
Atp2b4,ENSMUSG00000026463,1,133801041,133699457,-,-0.0137,2.129317,0.10811281204223633,True,0.06303602773475642,0.16856933931735274,0.3092536241349235,15.394941969731251,3.5178495168685915,0.12030170112848282,0.05642589181661606,0.2621175906970238,0.0,0.0,0.000931666476721151,0.36116963546343905,0.17636896095013826,0.749137417558276,2.3457766095615047,0.11745470762252808
Btg2,ENSMUSG00000020423,1,134079120,134075170,-,-0.1868,0.037434634,-0.8468762636184692,False,,,,,,,,,,,,,,,,-0.012894988059997559
Tmem183a,ENSMUSG00000042305,1,134361979,134346097,-,0.039,0.65030754,-2.5364956855773926,False,,,,,,,,,,,,,,,,-0.05892038345336914
Rnpep,ENSMUSG00000041926,1,135284084,135262712,-,0.082,0.22804004,-0.461118221282959,False,,,,,,,,,,,,,,,,-0.25085508823394775
Timm17a,ENSMUSG00000062580,1,135313778,135295213,-,0.0846,0.11774947,-2.2748239040374756,False,,,,,,,,,,,,,,,,-0.12134158611297607
Ipo9,ENSMUSG00000041879,1,135430499,135382312,-,0.0302,1.9780566,-0.5895328521728516,False,,,,,,,,,,,,,,,,-0.36037731170654297
Ptprc,ENSMUSG00000026395,1,138175708,138062861,-,-0.225,1.0212324,-0.19601655006408691,False,,,,,,,,,,,,,,,,0.173517644405365
Nek7,ENSMUSG00000026393,1,138620141,138482875,-,0.0189,1.427405,-0.46207964420318604,False,,,,,,,,,,,,,,,,-0.413189172744751
Cdc73,ENSMUSG00000026361,1,143702893,143598800,-,0.0058,1.2902558,-0.7289043664932251,False,,,,,,,,,,,,,,,,-0.7286858558654785
Rgs2,ENSMUSG00000026360,1,144004161,143999338,-,-0.0466,0.17442374,0.08274334669113159,True,0.14305805240694583,1.1335728249507524,0.25613985479228313,10.931846809933672,0.324347664018472,0.039292871952056885,0.14345504343509674,0.16586491077657647,0.0,0.0,0.38805629215740134,0.12541153462528262,0.5661984880551183,1.6519329631172215,3.067349988115321,0.17015767097473145
Rgs1,ENSMUSG00000026358,1,144249242,144242296,-,-0.0152,0.087472774,-0.25069308280944824,False,,,,,,,,,,,,,,,,-0.03029954433441162
Swt1,ENSMUSG00000052748,1,151428455,151367699,-,-0.0351,0.5844867,-1.241161584854126,False,,,,,,,,,,,,,,,,-1.0375070571899414
1700025G04Rik,ENSMUSG00000032666,1,152090125,151852403,-,0.0238,9.158163,-0.898551344871521,False,,,,,,,,,,,,,,,,-0.8109627962112427
Smg7,ENSMUSG00000042772,1,152902646,152836995,-,0.0186,1.919469,-2.6762704849243164,False,,,,,,,,,,,,,,,,-2.460226058959961
Lamc1,ENSMUSG00000026478,1,153332786,153218922,-,0.0635,2.5219913,-0.6690194606781006,False,,,,,,,,,,,,,,,,-0.5558210611343384
Dhx9,ENSMUSG00000042699,1,153487660,153455758,-,0.0469,0.35986313,-0.5615155696868896,False,,,,,,,,,,,,,,,,-0.1601637601852417
Xpr1,ENSMUSG00000026469,1,155417415,155275701,-,-0.0426,3.4356358,-3.7660298347473145,False,,,,,,,,,,,,,,,,-3.5548219680786133
Qsox1,ENSMUSG00000033684,1,155812889,155776029,-,-0.036,0.33888608,-0.40904879570007324,False,,,,,,,,,,,,,,,,-0.07089090347290039
Cep350,ENSMUSG00000033671,1,155973255,155844964,-,-0.0327,1.5725467,-0.40999865531921387,False,,,,,,,,,,,,,,,,-0.40713822841644287
Tor1aip1,ENSMUSG00000026466,1,156036480,156004599,-,0.0221,0.75979525,-0.19439446926116943,False,,,,,,,,,,,,,,,,-0.1655365228652954
Soat1,ENSMUSG00000026600,1,156474331,156424525,-,-0.0617,0.7154941,-0.7296277284622192,False,,,,,,,,,,,,,,,,-0.6926531791687012
Ralgps2,ENSMUSG00000026594,1,156939626,156804166,-,-0.0465,3.0732362,-0.8139469623565674,False,,,,,,,,,,,,,,,,-0.5485954284667969
Cacybp,ENSMUSG00000014226,1,160212875,160202367,-,0.106,0.033331845,-1.3563239574432373,False,,,,,,,,,,,,,,,,-0.031790852546691895
Rabgap1l,ENSMUSG00000026721,1,160793211,160219174,-,-0.0056,8.319945,-0.7615106105804443,False,,,,,,,,,,,,,,,,-0.6264405250549316
Prdx6,ENSMUSG00000026701,1,161251219,161240112,-,0.0021,0.046273578,-1.7183527946472168,False,,,,,,,,,,,,,,,,-0.041464805603027344
Fasl,ENSMUSG00000000817,1,161788495,161780689,-,0.0144,1.1310087,-0.08365845680236816,False,,,,,,,,,,,,,,,,-0.06937623023986816
Suco,ENSMUSG00000040297,1,161876682,161816114,-,-0.0434,1.9134767,-2.0512657165527344,False,,,,,,,,,,,,,,,,-1.236654281616211
Prrc2c,ENSMUSG00000040225,1,162740556,162670725,-,-0.0865,0.43697187,-0.9998422861099243,False,,,,,,,,,,,,,,,,-0.9896706342697144
Tiprl,ENSMUSG00000040843,1,165236996,165212286,-,0.043,0.42025542,-4.205159664154053,False,,,,,,,,,,,,,,,,-0.11401176452636719
Dcaf6,ENSMUSG00000026571,1,165460475,165328698,-,-0.0213,1.8639176,-3.0602760314941406,False,,,,,,,,,,,,,,,,-2.9115004539489746
Rcsd1,ENSMUSG00000040723,1,165709757,165646516,-,-0.0416,0.6006208,-0.7035505771636963,False,,,,,,,,,,,,,,,,-0.09940111637115479
Pou2f1,ENSMUSG00000026565,1,166002678,165865154,-,-0.0102,5.1619477,-1.0972821712493896,False,,,,,,,,,,,,,,,,-1.092566728591919
Uck2,ENSMUSG00000026558,1,167285320,167222883,-,0.152,0.8437729,-0.49058854579925537,False,,,,,,,,,,,,,,,,0.06589055061340332
Uap1,ENSMUSG00000026670,1,170174957,170141938,-,0.0259,0.63579535,-1.170910358428955,False,,,,,,,,,,,,,,,,-0.05394411087036133
Uhmk1,ENSMUSG00000026667,1,170215397,170193420,-,-0.0421,0.5031725,-0.7777894735336304,False,,,,,,,,,,,,,,,,-0.22400689125061035
Atf6,ENSMUSG00000026663,1,170867771,170704674,-,0.0586,4.274286,-1.6771912574768066,False,,,,,,,,,,,,,,,,-1.28843355178833
Sdhc,ENSMUSG00000058076,1,171150603,171127165,-,0.0899,0.2601616,-5.055316925048828,False,,,,,,,,,,,,,,,,-0.036812663078308105
Fcer1g,ENSMUSG00000058715,1,171234365,171229572,-,-0.0315,0.020224568,0.5983382165431976,False,12.023141685206909,53.86105184382461,1.6900629763176043,8.207816908897282,0.012656670436263085,0.0654977485537529,2.3287315368652344,0.23954681286681914,0.0,0.0,0.49599707668063675,0.22285778667212336,5.628693716046561,0.519560545544828,0.6601128874085732,0.6195792555809021
Ndufs2,ENSMUSG00000013593,1,171251388,171234853,-,0.0827,0.048698675,-4.450625896453857,False,,,,,,,,,,,,,,,,0.012701869010925293
Ufc1,ENSMUSG00000062963,1,171295024,171288563,-,0.1585,0.14025986,-1.1610636711120605,False,,,,,,,,,,,,,,,,-0.03513383865356445
Slamf7,ENSMUSG00000038179,1,171653035,171632403,-,-0.0108,0.89015704,-0.03612041473388672,False,,,,,,,,,,,,,,,,0.09613490104675293
Ncstn,ENSMUSG00000003458,1,172082795,172066013,-,-0.0429,0.5798704,-0.4901618957519531,False,,,,,,,,,,,,,,,,-0.35669732093811035
Pea15a,ENSMUSG00000013698,1,172206804,172196728,-,-0.025,0.6069157,-0.6634862422943115,False,,,,,,,,,,,,,,,,0.05002564191818237
Ifi206,ENSMUSG00000037849,1,173491041,173468485,-,-0.0171,0.15080054,-0.804780125617981,False,,,,,,,,,,,,,,,,-0.2637115716934204
Ifi214,ENSMUSG00000070501,1,173535957,173519717,-,-0.0313,0.61169195,-1.1411120891571045,False,,,,,,,,,,,,,,,,0.29699575901031494
Ifi213,ENSMUSG00000073491,1,173599274,173566283,-,-0.089,0.944993,0.28526073694229126,True,0.043793027367473175,0.1922869490474934,0.16148877710873355,18.799153171800143,1.7956530725955964,0.08934088051319122,0.07052626460790634,0.28826615290754887,0.0,0.0,0.16804782185867262,0.22077880100542482,0.18593117662159533,0.6715189634202683,3.983172808861727,0.28591251373291016
Mndal,ENSMUSG00000090272,1,173942491,173849126,-,-0.0421,1.0468311,0.03645747900009155,True,0.250385206339344,0.2816908979368337,0.2530414297551486,18.081313161247916,1.4326929983496666,0.21321074664592743,0.2005324810743332,0.243371892423083,0.0,0.0,0.2864772233858087,0.886636340733096,0.8400889398722813,0.9513977349249831,3.1799004350627267,0.1676521897315979
Ifi203,ENSMUSG00000039997,1,173942672,173920407,-,-0.0633,0.15807173,-0.2589603662490845,False,,,,,,,,,,,,,,,,-0.1015324592590332
Adss,ENSMUSG00000015961,1,177796511,177762962,-,0.0913,0.4273269,-1.2045228481292725,False,,,,,,,,,,,,,,,,-0.2583884000778198
Hnrnpu,ENSMUSG00000039630,1,178337797,178321108,-,0.0374,0.8284294,0.04346972703933716,True,0.3332750032092033,0.3483436427802433,0.1885665165270083,14.930753021352798,1.281159335374832,0.29015785455703735,0.30574893951416016,0.26340236849489757,0.0,0.0,0.4236925169734321,0.9348880977992695,1.2534008393513745,0.828618226409512,3.024981575966966,0.4089781641960144
Smyd3,ENSMUSG00000055067,1,179518041,178951960,-,-0.0494,7.692681,-0.5597015619277954,False,,,,,,,,,,,,,,,,-0.4753915071487427
Tfb2m,ENSMUSG00000026492,1,179546267,179528055,-,-0.0253,0.8792388,-0.6826945543289185,False,,,,,,,,,,,,,,,,-0.6799111366271973
Ahctf1,ENSMUSG00000026491,1,179803680,179744894,-,-0.0363,0.85912526,-0.7331598997116089,False,,,,,,,,,,,,,,,,-0.6397253274917603
Psen2,ENSMUSG00000010609,1,180263438,180227004,-,-0.0396,0.27083242,-1.260270595550537,False,,,,,,,,,,,,,,,,-0.057408690452575684
H3f3a,ENSMUSG00000060743,1,180813943,180800832,-,0.2073,0.07239834,-2.3345563411712646,False,,,,,,,,,,,,,,,,-0.12327241897583008
Nvl,ENSMUSG00000026516,1,181144204,181087138,-,-0.0015,0.66900265,-0.6356041431427002,False,,,,,,,,,,,,,,,,-0.39803898334503174
Wdr26,ENSMUSG00000038733,1,181211552,181173228,-,-0.0397,0.7341654,-0.31759023666381836,False,,,,,,,,,,,,,,,,-0.0934985876083374
Lbr,ENSMUSG00000004880,1,181843046,181815335,-,-0.0662,0.10436505,-0.7726134061813354,False,,,,,,,,,,,,,,,,0.024886250495910645
Fbxo28,ENSMUSG00000047539,1,182341629,182313102,-,-0.0143,1.200213,-0.6675323247909546,False,,,,,,,,,,,,,,,,-0.13807010650634766
Capn2,ENSMUSG00000026509,1,182517608,182467260,-,0.1166,0.36567172,0.22775471210479736,True,0.2718028286303322,1.1514720478936642,0.30866766713553623,10.86680945529241,0.20081144928932187,0.06827013939619064,0.15808667242527008,0.26913009979109676,0.0,0.0,0.20251754187038973,0.18828080218525356,0.6185335357641352,0.7795557725872908,1.8834837186586886,0.2516217827796936
Brox,ENSMUSG00000046836,1,183297269,183276352,-,-0.035,0.30876556,-0.2643836736679077,False,,,,,,,,,,,,,,,,-0.22253048419952393
Mia3,ENSMUSG00000056050,1,183369553,183326725,-,-0.1035,1.1347953,-0.9482266902923584,False,,,,,,,,,,,,,,,,-0.9482260942459106
Marc2,ENSMUSG00000073481,1,184846451,184813068,-,-0.0462,0.07490031,-2.210632085800171,False,,,,,,,,,,,,,,,,-0.0097273588180542
Iars2,ENSMUSG00000026618,1,185329396,185284726,-,-0.0118,0.63954765,-0.18448078632354736,False,,,,,,,,,,,,,,,,-0.05287790298461914
