name,337-10_f,337-11_f,337-12_f,337-13_f,337-14_f,337-15_f,337-16_f,337-17_f,337-18_f,337-19_f,337-1_f,337-20_f,337-21_f,337-22_f,337-23_f,337-24_f,337-2_f,337-3_f,337-4_f,337-5_f,337-6_f,337-7_f,337-8_f,337-9_f
ENSMUSE00001343950,0,0,3,2,0,1,1,4,0,1,2,0,2,0,1,0,3,2,2,1,7,1,1,3
ENSMUSE00000630850,256,258,1993,923,111,630,2460,944,427,336,3719,1486,511,0,422,933,477,274,1541,2592,966,385,2310,482
ENSMUSE00001298878,240,240,1874,820,102,583,2328,867,404,318,3369,1417,448,0,388,879,445,256,1458,2392,909,372,2180,417
ENSMUSE00001253077,216,222,1727,742,98,517,2130,751,382,296,2969,1308,395,0,365,816,412,238,1338,2155,821,343,1969,372
ENSMUSE00001289349,251,254,1964,894,108,621,2415,916,422,330,3600,1470,488,0,409,916,462,272,1507,2521,940,381,2271,459
ENSMUSE00001273110,52,89,660,312,29,240,809,393,103,119,1690,451,177,0,154,281,134,64,467,1034,254,110,729,149
ENSMUSE00001339503,8,19,153,57,4,52,191,83,33,36,377,89,36,0,43,62,31,16,108,233,49,18,118,32
ENSMUSE00001237796,19,35,277,120,11,86,319,153,40,46,677,193,64,0,66,116,55,21,191,385,93,48,328,53
ENSMUSE00001304350,38,38,290,182,14,117,345,220,42,45,779,194,114,0,59,127,67,36,213,441,140,50,355,104
ENSMUSE00000501172,22,21,61,37,17,35,28,34,30,28,35,26,29,0,26,34,17,26,46,32,33,16,26,38
ENSMUSE00001344143,0,0,0,0,3,2,0,1,2,2,5,0,1,0,0,0,21,0,0,13,3,2,6,0
ENSMUSE00001338294,7,11,13,12,5,13,12,5,9,4,18,4,7,0,6,8,15,1,3,10,14,2,7,2
ENSMUSE00001341492,7,2,11,7,4,3,3,0,4,6,15,6,3,0,5,4,4,3,3,6,12,4,6,5
ENSMUSE00000660495,3,1,4,5,1,2,1,0,0,4,8,5,2,0,5,2,3,0,1,2,5,3,3,1
ENSMUSE00001344273,3,2,12,6,0,4,9,13,1,7,22,5,6,0,2,2,2,4,7,17,7,4,5,2
ENSMUSE00000463933,164,75,104,51,80,105,53,63,144,93,89,67,42,0,68,44,145,68,73,56,220,52,43,54
ENSMUSE00000754750,227,88,286,110,87,187,141,134,319,146,329,153,118,0,158,71,289,113,192,217,386,96,121,84
ENSMUSE00001146417,225,85,292,113,88,187,143,136,325,146,332,156,117,0,158,71,289,113,193,218,388,97,121,85
ENSMUSE00001238822,131,36,88,37,48,76,37,45,153,60,85,49,48,0,64,22,158,44,50,65,185,40,40,34
ENSMUSE00000713089,30,20,88,27,13,44,56,33,52,33,103,29,33,0,54,29,27,20,68,58,38,21,50,25
ENSMUSE00000553798,1,0,3,1,3,0,1,3,1,0,9,0,1,0,1,1,8,0,4,12,11,3,4,0
ENSMUSE00001104564,3,5,22,2,10,13,22,27,7,12,22,16,11,0,11,6,18,3,16,26,29,8,33,7
ENSMUSE00001144804,3,5,22,2,10,13,22,27,7,12,22,16,11,0,11,6,18,3,16,26,29,8,33,7
ENSMUSE00001175967,0,1,0,0,0,1,1,1,2,0,1,1,1,0,3,1,2,0,1,8,8,0,6,1
ENSMUSE00001320401,74,225,665,306,33,384,949,259,129,262,932,578,231,0,271,357,177,196,743,523,250,140,633,204
ENSMUSE00000553717,74,225,665,306,33,384,949,259,129,262,932,578,231,0,271,357,177,196,743,523,250,140,633,204
ENSMUSE00001332231,1,2,16,11,3,16,35,22,2,7,64,15,33,0,14,21,20,5,26,43,19,14,26,13
ENSMUSE00001317996,32,93,285,69,12,133,327,55,52,90,237,207,65,0,95,133,60,75,260,118,85,55,164,41
ENSMUSE00001323164,9,40,73,42,8,58,134,37,17,41,129,68,33,0,48,47,22,22,111,66,32,19,96,37
ENSMUSE00001328436,11,10,43,53,5,31,75,34,10,30,136,48,18,0,29,32,14,11,63,84,16,9,54,33
ENSMUSE00000441750,2,4,11,55,5,5,17,175,3,3,394,6,109,0,6,11,19,6,20,203,13,9,29,32
ENSMUSE00000403774,2,4,11,56,5,5,17,180,2,3,402,6,110,0,6,11,20,6,20,203,13,9,29,32
ENSMUSE00001272844,1,0,1,13,1,1,3,28,2,1,56,2,26,0,0,0,3,1,4,37,6,4,9,3
ENSMUSE00000793282,1,0,3,1,1,0,1,1,2,0,6,0,0,0,0,0,9,0,1,5,5,1,3,1
ENSMUSE00001330861,2,3,17,15,2,18,20,16,7,9,21,18,12,0,13,13,6,10,7,15,14,10,8,10
ENSMUSE00001328527,43,36,144,35,15,98,116,51,53,41,165,107,52,0,61,61,58,38,66,128,119,37,98,31
ENSMUSE00001308033,773,817,3291,560,319,1909,3145,1057,1344,915,2718,2212,633,0,1278,1248,1479,573,2319,1838,2423,588,2910,316
ENSMUSE00000813321,127,110,615,71,44,302,512,134,194,118,415,401,125,0,220,210,232,105,390,309,424,112,443,55
ENSMUSE00001290187,102,96,468,57,37,262,402,112,158,100,330,316,116,0,172,165,189,87,274,253,354,91,321,51
ENSMUSE00001291361,93,87,367,38,29,210,319,89,137,80,267,260,95,0,139,124,164,71,230,223,305,72,246,37
ENSMUSE00001255443,717,783,3152,523,292,1813,3020,992,1293,872,2539,2102,583,0,1226,1181,1421,535,2250,1719,2304,555,2814,282
ENSMUSE00001375985,107,95,586,52,32,247,454,97,142,86,328,329,57,0,176,157,189,78,377,212,310,72,434,24
ENSMUSE00001329916,58,77,373,62,20,174,402,121,126,98,328,250,63,0,111,150,130,48,288,261,191,64,360,33
ENSMUSE00001335581,87,126,445,81,32,269,498,139,205,134,396,333,87,0,198,194,216,71,356,230,313,76,472,43
ENSMUSE00001296903,64,100,340,61,24,226,392,106,165,109,298,256,72,0,136,154,173,61,263,180,249,59,358,34
ENSMUSE00001264927,103,158,541,104,52,330,575,162,248,159,486,392,106,0,229,242,275,80,426,282,401,98,576,55
ENSMUSE00001232269,17,17,62,10,8,35,60,22,32,10,45,40,10,0,24,33,37,9,38,31,54,17,61,11
ENSMUSE00001319119,83,76,345,55,37,264,369,74,180,140,176,258,35,0,141,148,160,71,276,118,316,90,323,27
ENSMUSE00001320539,27,29,98,17,8,100,123,34,48,47,61,87,20,0,48,47,56,16,79,37,117,39,109,8
ENSMUSE00000437961,202,228,551,153,109,437,558,329,337,226,627,410,177,0,328,254,393,147,414,450,588,116,570,84
ENSMUSE00000842702,17,28,43,16,19,40,51,33,46,31,69,44,19,0,35,39,44,16,46,43,67,14,66,8
ENSMUSE00000785480,20,25,53,13,13,47,58,37,31,13,57,35,23,0,23,19,49,8,40,55,55,13,36,9
ENSMUSE00001214644,17,21,56,11,8,49,54,29,27,17,62,36,17,0,29,23,37,16,37,33,60,13,62,11
ENSMUSE00000757737,22,23,49,14,8,28,46,33,23,13,59,45,16,0,19,18,30,14,32,35,49,11,23,6
ENSMUSE00001328030,7,0,0,6,3,1,3,2,2,1,4,0,6,0,0,0,5,0,2,4,3,1,1,1
ENSMUSE00000604640,22,8,22,21,51,23,29,57,43,16,89,20,19,0,12,11,215,15,39,125,154,49,85,29
ENSMUSE00001327265,1,0,0,2,10,0,1,7,4,1,9,0,2,0,1,0,33,2,4,12,26,10,9,1
ENSMUSE00001329717,0,0,0,0,3,1,0,1,2,0,2,0,0,0,0,0,12,0,1,2,13,5,6,0
ENSMUSE00001322541,7,4,11,9,10,15,13,18,12,7,33,16,6,0,6,6,34,4,17,27,28,9,24,12
ENSMUSE00000317484,7,4,11,9,10,15,13,18,12,7,33,16,6,0,6,6,34,4,17,27,28,9,24,12
ENSMUSE00001319596,1,0,1,0,5,0,0,5,2,0,9,1,1,0,0,0,23,1,2,12,16,4,1,0
ENSMUSE00001323222,0,0,1,0,4,0,0,2,0,0,4,0,0,0,0,0,10,0,2,4,8,2,1,0
ENSMUSE00000728032,60,22,57,57,102,51,71,131,59,25,216,41,60,0,38,37,500,19,84,291,299,79,166,46
ENSMUSE00001265206,10,2,8,7,30,5,6,18,10,2,39,4,8,0,0,3,92,4,13,53,51,16,28,8
ENSMUSE00001321665,60,22,57,57,102,51,71,131,59,25,216,41,60,0,38,37,500,19,84,291,299,79,166,46
ENSMUSE00001324278,7,2,0,2,14,2,4,9,6,5,21,2,3,0,1,1,60,2,4,21,22,13,18,3
ENSMUSE00001318393,3,1,0,0,0,0,1,1,1,1,4,0,0,0,1,0,13,0,1,7,5,4,3,0
ENSMUSE00001114091,1,0,1,0,2,0,1,0,0,0,7,0,1,0,1,0,4,1,0,1,2,1,2,1
ENSMUSE00001332287,12,5,7,9,34,9,5,16,14,1,44,4,6,0,6,1,107,3,8,81,76,16,30,12
ENSMUSE00000360632,12,5,7,9,34,9,5,16,14,1,43,4,6,0,6,1,105,3,8,81,76,16,30,12
ENSMUSE00000412216,12,5,7,9,34,9,5,16,14,1,43,4,6,0,6,1,105,3,8,81,76,16,30,12
ENSMUSE00000630782,1,1,3,0,3,1,1,1,1,0,8,0,0,0,0,1,15,0,0,15,4,4,5,0
ENSMUSE00001331848,6,5,14,9,1,14,16,26,7,2,24,10,20,0,11,10,24,6,13,28,8,8,16,6
ENSMUSE00000553058,5,0,4,0,4,2,6,0,4,0,8,0,0,0,1,2,17,0,9,13,16,4,7,3
ENSMUSE00001325743,1,0,0,0,4,0,0,3,1,1,3,0,0,0,0,0,11,0,1,5,12,1,1,0
ENSMUSE00000712472,58,27,111,136,27,48,54,50,45,66,146,67,40,0,59,43,42,35,96,93,83,51,66,60
ENSMUSE00000959346,36,7,19,22,68,17,20,51,25,7,123,8,19,0,11,11,282,17,32,154,158,63,82,22
ENSMUSE00000901644,37,7,18,21,65,15,20,51,25,7,118,8,18,0,11,11,269,18,34,149,158,63,76,22
ENSMUSE00001335144,210,294,1956,406,80,952,2326,911,363,450,2226,1380,650,0,802,1113,386,284,1439,1476,694,383,2347,245
ENSMUSE00001328383,116,145,990,201,43,508,1173,539,183,209,1225,718,360,0,393,537,210,140,705,847,361,197,1108,119
ENSMUSE00000323790,207,288,1938,401,78,940,2301,902,359,446,2204,1370,642,0,794,1104,382,280,1418,1458,686,380,2315,243
ENSMUSE00001332309,101,128,935,178,40,491,1110,503,172,197,1127,684,337,0,372,501,208,135,657,772,339,179,1042,107
ENSMUSE00001339118,15,10,25,51,11,20,54,32,18,14,118,23,16,0,19,22,14,10,31,62,25,6,50,33
ENSMUSE00000333451,108,177,499,126,60,365,405,147,210,203,265,309,163,0,275,192,196,154,376,207,328,161,278,93
ENSMUSE00000752331,5,21,31,17,5,38,30,10,16,13,22,29,16,0,21,13,14,11,25,15,18,9,14,11
ENSMUSE00001330863,1,0,0,1,7,1,1,3,0,0,8,0,0,0,0,1,9,0,5,8,11,1,2,0
ENSMUSE00000851730,1,0,0,0,2,0,0,2,4,0,6,0,0,0,1,0,6,0,0,5,4,2,6,0
ENSMUSE00001344677,0,0,0,6,0,0,3,2,1,0,4,1,2,0,0,2,2,0,1,2,1,0,1,2
ENSMUSE00000955715,123,127,341,47,66,384,339,61,188,183,130,256,41,0,230,163,174,118,186,134,311,139,212,38
ENSMUSE00000949710,105,112,308,35,55,337,309,56,170,160,117,236,31,0,205,155,155,102,170,115,286,132,183,31
ENSMUSE00000962983,123,127,341,47,66,384,340,61,188,183,131,256,41,0,230,163,175,119,186,134,311,139,214,38
ENSMUSE00000956845,15,6,22,4,7,18,12,9,7,11,8,18,3,0,11,4,15,3,12,7,20,5,10,8
ENSMUSE00001323570,2,0,8,1,1,2,9,1,1,1,8,2,1,0,0,4,4,2,3,1,9,4,6,1
ENSMUSE00000153123,11,4,50,6,4,24,56,9,7,6,47,23,5,0,19,15,24,2,30,34,23,8,53,9
ENSMUSE00000153122,11,4,50,5,4,24,56,9,7,6,46,23,5,0,19,14,24,2,30,34,23,8,53,9
ENSMUSE00001321406,19,9,26,24,45,13,26,41,24,14,92,12,23,0,14,19,174,9,32,127,106,36,63,21
ENSMUSE00000744355,2,1,0,0,1,2,0,1,1,0,6,0,1,0,0,0,11,0,2,10,11,3,5,0
ENSMUSE00000153118,2,1,0,0,1,2,0,0,1,0,5,0,1,0,0,0,10,0,1,9,9,3,3,0
ENSMUSE00001320519,2,1,0,0,1,2,0,0,1,0,5,0,1,0,0,0,10,0,1,10,10,3,4,0
ENSMUSE00001326895,13,4,5,4,5,6,2,7,9,6,8,5,4,0,1,2,18,3,1,3,9,2,2,2
ENSMUSE00000552637,0,1,1,3,5,0,1,2,0,1,7,1,1,0,1,0,28,2,2,14,8,1,3,4
ENSMUSE00000853181,3,0,3,0,14,1,0,7,2,1,9,2,0,0,1,0,26,2,0,13,18,2,9,2
ENSMUSE00000343325,3,0,3,0,14,1,0,8,2,1,9,2,0,0,1,0,26,2,0,13,19,2,9,2
ENSMUSE00001319771,3,0,12,23,2,2,15,22,4,1,82,5,21,0,2,9,2,1,4,61,10,0,16,12
ENSMUSE00001331993,0,3,11,0,3,3,13,3,1,2,5,6,2,0,3,4,5,4,12,4,0,0,7,1
ENSMUSE00000320302,8,4,8,2,17,5,5,2,7,3,23,3,7,0,5,1,46,5,10,24,27,13,17,2
ENSMUSE00000739065,7,4,7,0,6,4,2,1,4,2,16,2,6,0,3,0,30,3,9,15,18,9,11,2
ENSMUSE00000335163,2,0,0,3,7,0,1,2,4,0,5,1,1,0,0,1,27,1,1,8,12,1,3,1
ENSMUSE00000456367,2,0,0,3,7,0,0,2,4,0,5,1,1,0,0,1,25,1,1,8,12,0,3,1
ENSMUSE00001330333,181,87,249,45,71,148,140,74,217,143,102,127,56,0,116,47,182,72,181,67,176,47,54,24
ENSMUSE00001332535,6,0,3,1,2,0,0,3,3,0,12,1,1,0,0,0,29,2,4,10,11,4,6,1
ENSMUSE00001431675,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,4,0,0,7,2,3,5,0
ENSMUSE00001333839,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,6,0,1,3,0
ENSMUSE00000702429,7,30,135,98,11,92,252,96,19,56,252,113,54,0,71,160,36,41,142,169,62,63,297,78
ENSMUSE00000359134,3,14,33,44,4,32,81,37,5,19,100,38,15,0,23,51,15,22,58,62,25,21,102,31
ENSMUSE00000866389,0,0,0,3,0,1,0,7,0,0,12,0,4,0,0,1,0,0,0,4,1,0,0,0
ENSMUSE00000307757,4,2,7,17,4,4,14,64,5,3,76,4,15,0,2,5,23,3,6,40,17,4,23,16
ENSMUSE00000869172,4,8,26,11,3,16,54,5,7,3,27,15,8,0,10,25,12,8,19,21,13,11,35,4
ENSMUSE00000154283,3,8,26,11,3,16,54,5,7,3,27,15,8,0,10,25,12,8,19,21,13,11,35,4
ENSMUSE00000783693,1,1,3,11,6,8,8,11,6,0,16,3,6,0,6,1,11,0,4,24,12,3,20,3
ENSMUSE00001250100,1,1,3,10,6,8,8,11,6,0,16,3,6,0,6,1,11,0,4,22,12,3,20,3
ENSMUSE00001323225,1,1,3,10,6,8,8,11,6,0,15,3,6,0,6,1,11,0,4,22,12,3,20,2
ENSMUSE00001159547,6,1,5,2,5,6,3,0,8,3,2,7,0,0,2,2,5,1,5,0,7,1,0,0
ENSMUSE00001329771,1,1,0,0,0,1,1,1,0,0,2,0,0,0,0,0,15,0,2,2,10,5,3,2
ENSMUSE00000843988,9,2,4,3,11,4,4,4,9,1,29,2,7,0,2,1,32,2,8,18,19,10,17,0
ENSMUSE00000828983,10,2,6,5,15,10,5,7,17,2,42,5,7,0,4,2,51,2,9,33,38,15,22,3
ENSMUSE00000415509,9,2,4,3,11,4,4,4,9,1,29,2,7,0,2,1,32,2,8,18,19,10,17,0
ENSMUSE00000779838,9,1,1,1,15,2,0,11,10,0,14,2,1,0,0,3,45,2,11,27,31,5,16,3
ENSMUSE00000630577,5,1,1,1,10,2,0,10,6,0,7,2,1,0,0,2,32,1,7,13,23,3,11,3
ENSMUSE00000771935,0,0,0,1,1,1,0,7,4,0,5,2,1,0,0,1,12,0,6,8,10,1,6,1
ENSMUSE00000438739,623,399,2276,1040,240,986,1804,2034,926,514,5467,1497,1607,0,614,802,1005,378,1562,3689,1688,448,2005,567
ENSMUSE00001332512,357,221,1280,673,178,546,960,1413,555,296,3733,869,1204,0,353,422,600,237,926,2642,1000,268,1124,382
ENSMUSE00000604180,637,400,2285,1049,238,996,1818,2050,930,517,5489,1501,1611,0,618,806,1020,381,1568,3698,1699,450,2014,571
ENSMUSE00001328337,104,85,512,177,38,211,439,357,167,106,922,344,233,0,135,192,197,64,307,560,346,83,428,102
ENSMUSE00000604170,155,90,487,195,31,238,407,275,204,108,869,293,206,0,121,188,209,76,304,546,367,89,460,92
ENSMUSE00001335968,0,0,0,3,1,0,0,1,0,0,2,0,0,0,0,0,10,2,1,6,8,0,0,1
ENSMUSE00001318485,47,19,56,53,10,34,21,57,38,21,119,12,53,0,24,18,30,27,26,49,42,11,28,46
ENSMUSE00001331888,36,21,20,18,15,24,16,18,48,19,7,14,16,0,18,5,36,12,12,9,33,17,10,22
ENSMUSE00001324309,4,0,0,2,7,0,0,0,2,0,2,0,0,0,0,0,11,1,2,5,5,1,0,0
ENSMUSE00000357611,0,0,1,2,3,0,0,2,0,0,5,1,2,0,0,0,23,1,6,6,10,3,10,0
ENSMUSE00001319148,0,0,1,0,3,0,0,1,0,0,0,0,1,0,0,0,16,1,2,5,6,2,5,0
ENSMUSE00000604018,11,18,25,5,1,18,10,9,19,18,13,15,2,0,12,8,8,8,18,10,10,9,9,6
ENSMUSE00001330080,35,8,23,29,82,33,28,44,39,13,141,14,24,0,16,11,361,12,52,187,203,60,104,22
ENSMUSE00001327350,5,0,1,1,6,2,1,9,6,2,22,0,3,0,1,0,53,3,7,24,32,6,10,0
ENSMUSE00000314986,8,3,8,10,19,12,7,21,14,4,43,3,10,0,4,2,119,6,17,58,68,22,32,4
ENSMUSE00001321831,8,4,7,7,20,3,12,12,9,3,30,3,8,0,6,3,69,3,14,44,33,12,15,4
ENSMUSE00001345284,3,0,3,1,1,0,3,2,0,2,6,4,2,0,0,1,3,0,2,5,5,0,8,3
ENSMUSE00001337817,5,2,8,1,3,6,4,4,6,1,6,1,4,0,2,0,10,2,4,7,4,2,5,4
ENSMUSE00001336080,8,8,22,17,5,19,20,15,8,10,54,19,18,0,9,8,10,4,18,33,16,5,17,12
ENSMUSE00001321351,11,5,14,7,7,9,8,13,11,9,16,9,3,0,4,4,5,3,5,7,8,3,12,16
ENSMUSE00001341333,4,1,3,3,4,7,4,6,8,2,6,0,8,0,7,2,7,5,1,6,3,4,2,7
ENSMUSE00001344311,4,1,3,3,4,7,4,6,8,2,6,0,8,0,7,2,7,5,1,6,3,4,2,7
ENSMUSE00000838203,18,45,102,13,5,77,82,33,27,33,46,72,21,0,52,36,32,31,69,38,52,39,62,12
ENSMUSE00000314015,69,131,318,46,16,242,263,109,78,136,128,218,57,0,175,143,113,97,212,123,190,109,202,47
ENSMUSE00001291302,25,43,79,22,6,60,73,39,18,45,41,49,8,0,43,34,31,24,44,35,60,32,44,20
ENSMUSE00001259247,7,19,35,6,2,22,36,15,10,14,12,20,4,0,11,19,12,8,21,12,25,11,19,5
ENSMUSE00000797594,13,21,41,9,4,29,39,13,11,25,28,31,5,0,22,15,17,10,23,14,30,8,29,13
ENSMUSE00001209361,131,93,940,94,87,131,179,286,199,181,438,750,115,0,91,78,358,126,1339,297,332,96,250,65
ENSMUSE00001370886,49,35,432,45,30,56,88,108,94,86,195,347,40,0,39,42,142,49,600,121,163,37,136,25
ENSMUSE00001372034,97,79,915,84,66,107,172,271,146,163,400,737,107,0,72,77,275,98,1310,253,262,75,226,59
ENSMUSE00001254967,45,31,395,43,28,54,76,105,85,82,190,314,39,0,37,40,135,44,557,118,149,31,125,23
ENSMUSE00001343440,0,0,14,0,0,0,1,0,2,3,4,6,1,0,0,1,1,2,10,5,0,1,0,0
ENSMUSE00001337074,5,4,36,2,6,8,12,5,8,12,12,36,3,0,10,4,14,3,55,10,25,6,14,2
ENSMUSE00001240522,6,1,65,6,4,9,11,6,15,19,11,49,0,0,4,7,28,11,83,14,20,4,13,1
ENSMUSE00001373845,57,49,538,42,38,56,99,168,66,86,210,440,68,0,37,39,146,58,780,137,116,44,108,37
ENSMUSE00001229339,2,3,16,1,0,3,3,2,4,5,0,13,0,0,1,2,5,3,22,2,2,1,7,1
ENSMUSE00001321242,3,0,17,4,1,1,6,4,2,8,7,21,2,0,2,1,8,5,28,4,8,3,7,1
ENSMUSE00001371641,11,6,149,12,4,11,28,45,8,28,58,128,15,0,7,11,35,12,240,47,21,11,25,6
ENSMUSE00001374678,14,17,185,10,16,12,30,33,18,27,56,158,12,0,8,13,47,10,244,32,21,15,24,4
ENSMUSE00001318670,0,0,7,0,4,0,2,0,0,2,4,1,0,0,0,1,0,2,4,2,2,0,2,0
ENSMUSE00001375945,4,6,37,2,6,1,8,12,3,2,10,38,3,0,2,3,7,2,56,11,5,4,4,1
ENSMUSE00001375622,4,7,49,3,5,1,10,11,3,4,11,45,4,0,2,4,12,2,69,13,4,7,2,1
ENSMUSE00000701649,369,240,324,270,167,432,266,578,683,347,839,242,436,0,317,190,534,238,261,562,765,180,211,210
ENSMUSE00001329092,45,38,64,47,19,86,60,92,90,85,214,61,58,0,65,36,96,48,72,141,136,28,58,28
ENSMUSE00001341456,190,122,169,149,93,228,135,309,358,192,466,144,235,0,164,105,263,127,161,311,372,80,118,118
ENSMUSE00001211447,158,103,148,129,76,197,122,266,301,166,408,128,194,0,139,90,216,105,136,277,326,65,108,96
ENSMUSE00000732925,97,76,109,87,48,150,90,175,192,127,327,104,129,0,93,65,144,81,112,206,231,41,85,61
ENSMUSE00001321276,24,12,29,15,9,24,22,35,52,20,57,16,26,0,26,10,39,13,21,40,44,9,13,24
ENSMUSE00000998634,19,27,51,56,15,37,61,56,31,23,84,46,39,0,31,37,20,19,38,80,51,32,55,40
ENSMUSE00001025700,2,8,32,4,3,3,30,2,6,5,26,26,3,0,6,13,7,1,25,16,5,8,24,5
ENSMUSE00001329610,2,8,32,4,3,3,30,2,6,5,26,26,3,0,6,13,7,1,25,16,5,8,24,5
ENSMUSE00001320498,0,1,14,0,0,1,9,0,0,2,7,5,0,0,3,4,1,1,5,2,1,2,8,0
