,gene_ids,feature_types,n_cells,highly_variable,means,dispersions,dispersions_norm
Plekhm3,ENSMUSG00000051344,Gene Expression,36,True,0.025294034,0.5188121,0.37134403
Pikfyve,ENSMUSG00000025949,Gene Expression,120,True,0.07513138,0.45840448,0.21065685
Kansl1l,ENSMUSG00000026004,Gene Expression,66,True,0.044502378,0.55688715,0.47262537
Ikzf2,ENSMUSG00000025997,Gene Expression,265,True,0.39149174,2.3645325,6.67404
Cxcr2,ENSMUSG00000026180,Gene Expression,28,True,0.020422004,1.1069902,1.9359255
Retreg2,ENSMUSG00000049339,Gene Expression,444,True,0.26130408,0.45485428,0.20121315
Ankzf1,ENSMUSG00000026199,Gene Expression,100,True,0.067838095,0.48058385,0.26965502
Tuba4a,ENSMUSG00000026202,Gene Expression,885,True,0.6339369,0.538145,0.2695876
Dnajb2,ENSMUSG00000026203,Gene Expression,59,True,0.052011173,0.51053953,0.34933853
Mogat1,ENSMUSG00000012187,Gene Expression,17,True,0.01315683,0.5402559,0.4283855
Acsl3,ENSMUSG00000032883,Gene Expression,33,True,0.03356227,0.9759096,1.5872449
Serpine2,ENSMUSG00000026249,Gene Expression,20,True,0.013435143,1.1720376,2.1089547
Trip12,ENSMUSG00000026219,Gene Expression,715,True,0.4369538,0.58989626,0.5789295
C130026I21Rik,ENSMUSG00000052477,Gene Expression,117,True,0.11033342,0.7292321,0.931071
Sp100,ENSMUSG00000026222,Gene Expression,1543,True,1.2908312,0.69048786,0.33679083
Itm2c,ENSMUSG00000026223,Gene Expression,709,True,0.46179307,0.652697,0.794623
Armc9,ENSMUSG00000062590,Gene Expression,27,True,0.019425394,0.5204894,0.37580565
Ptma,ENSMUSG00000026238,Gene Expression,1900,True,3.0821223,2.3557117,0.46989247
Gigyf2,ENSMUSG00000048000,Gene Expression,429,True,0.26111868,0.454706,0.20081876
Atg16l1,ENSMUSG00000026289,Gene Expression,220,True,0.13327146,0.45796427,0.20948587
Dgkd,ENSMUSG00000070738,Gene Expression,342,True,0.2306167,0.5284324,0.39693448
Usp40,ENSMUSG00000005501,Gene Expression,119,True,0.079393126,0.49558052,0.3095469
Arl4c,ENSMUSG00000049866,Gene Expression,1554,True,1.4121248,1.013033,0.38570455
Ramp1,ENSMUSG00000034353,Gene Expression,473,True,0.57018083,1.2624353,2.9234369
Hdac4,ENSMUSG00000026313,Gene Expression,278,True,0.19945924,0.46986812,0.24115069
Dusp28,ENSMUSG00000047067,Gene Expression,133,True,0.08637792,0.48952848,0.29344815
Sept2,ENSMUSG00000026276,Gene Expression,48,True,0.030788224,0.9351646,1.4788612
St8sia4,ENSMUSG00000040710,Gene Expression,316,True,0.19478999,0.6152305,0.62782145
Gin1,ENSMUSG00000026333,Gene Expression,348,True,0.2010307,0.47918954,0.2659461
Pam,ENSMUSG00000026335,Gene Expression,28,True,0.023915974,0.6394874,0.6923459
Gm7967,ENSMUSG00000100009,Gene Expression,28,True,0.03235461,1.352639,2.5893626
Gm7160,ENSMUSG00000099843,Gene Expression,72,True,0.048803687,0.5247507,0.38714096
Bcl2,ENSMUSG00000057329,Gene Expression,971,True,0.9816194,1.5224496,1.3047159
Kdsr,ENSMUSG00000009905,Gene Expression,263,True,0.15935217,0.6079207,0.60837704
2900060B14Rik,ENSMUSG00000107722,Gene Expression,110,True,0.073427804,0.51186234,0.35285726
Dbi,ENSMUSG00000026385,Gene Expression,1338,True,1.303828,0.8601428,0.89502966
Ddx18,ENSMUSG00000001674,Gene Expression,827,True,0.5663579,0.5197442,0.20216587
Mgat5,ENSMUSG00000036155,Gene Expression,108,True,0.07924287,0.63317865,0.67556435
R3hdm1,ENSMUSG00000056211,Gene Expression,782,True,0.4907582,0.49095333,0.23910315
Mcm6,ENSMUSG00000026355,Gene Expression,815,True,0.6587842,0.8227839,1.312524
Cd55,ENSMUSG00000026399,Gene Expression,203,True,0.15147926,0.63885325,0.6906591
Ikbke,ENSMUSG00000042349,Gene Expression,291,True,0.21191807,0.72055894,0.90800005
Ctse,ENSMUSG00000004552,Gene Expression,63,True,0.04423228,0.58455443,0.5462217
Nucks1,ENSMUSG00000026434,Gene Expression,1150,True,1.0010854,0.80115384,0.29511893
Elk4,ENSMUSG00000026436,Gene Expression,527,True,0.34181067,0.58347684,0.55688155
Mfsd4a,ENSMUSG00000059149,Gene Expression,177,True,0.120445274,0.71481705,0.89272636
Nuak2,ENSMUSG00000009772,Gene Expression,17,True,0.015810885,0.62244874,0.6470223
Dstyk,ENSMUSG00000042046,Gene Expression,25,True,0.025562495,0.7366257,0.9507383
Ppp1r15b,ENSMUSG00000046062,Gene Expression,449,True,0.25309613,0.4761403,0.25783494
Zc3h11a,ENSMUSG00000102976,Gene Expression,36,True,0.023079704,0.510832,0.35011655
Btg2,ENSMUSG00000020423,Gene Expression,1140,True,0.8684514,0.94578063,0.4975529
Klhl12,ENSMUSG00000026455,Gene Expression,178,True,0.114079215,0.4978253,0.31551808
Kdm5b,ENSMUSG00000042207,Gene Expression,198,True,0.17746317,0.7493181,0.9845008
Ppp1r12b,ENSMUSG00000073557,Gene Expression,50,True,0.035131406,0.45947364,0.21350087
Ptpn7,ENSMUSG00000031506,Gene Expression,713,True,0.45526603,0.4834625,0.21337545
Phlda3,ENSMUSG00000041801,Gene Expression,16,True,0.013649841,0.6327739,0.67448765
Tmem9,ENSMUSG00000026411,Gene Expression,231,True,0.15405597,0.5076686,0.34170178
Camsap2,ENSMUSG00000041570,Gene Expression,46,True,0.029450921,0.54263335,0.43470964
Gm33994,ENSMUSG00000104509,Gene Expression,25,True,0.02359772,0.5812356,0.5373934
Zfp281,ENSMUSG00000041483,Gene Expression,282,True,0.19196066,0.50359297,0.33086035
Gm19705,ENSMUSG00000097113,Gene Expression,262,True,0.25797492,0.9009248,1.3877819
Trove2,ENSMUSG00000018199,Gene Expression,24,True,0.015589115,0.48696887,0.28663948
Rgs2,ENSMUSG00000026360,Gene Expression,473,True,0.37756756,0.9005774,1.6459854
Rgs1,ENSMUSG00000026358,Gene Expression,374,True,0.27953574,1.0720233,2.234828
Gm10138,ENSMUSG00000100954,Gene Expression,114,True,0.073529586,0.48385277,0.2783505
Swt1,ENSMUSG00000052748,Gene Expression,491,True,0.3131093,0.48553172,0.22048227
Trmt1l,ENSMUSG00000053286,Gene Expression,447,True,0.29031876,0.54100984,0.4110257
Rnf2,ENSMUSG00000026484,Gene Expression,247,True,0.15520489,0.60813963,0.60895944
Arpc5,ENSMUSG00000008475,Gene Expression,1639,True,1.767152,0.98097616,0.6022355
Ncf2,ENSMUSG00000026480,Gene Expression,18,True,0.020173104,1.2874372,2.4159229
Rgs16,ENSMUSG00000026475,Gene Expression,64,True,0.0353272,0.6355249,0.68180555
Rnasel,ENSMUSG00000066800,Gene Expression,295,True,0.2022753,1.0643126,1.8224009
Glul,ENSMUSG00000026473,Gene Expression,404,True,0.2450563,0.4862319,0.28467909
Ier5,ENSMUSG00000056708,Gene Expression,1028,True,0.77894974,0.89709914,1.5848202
Mr1,ENSMUSG00000026471,Gene Expression,70,True,0.044891793,0.5373183,0.4205713
Soat1,ENSMUSG00000026600,Gene Expression,216,True,0.1222885,0.62847435,0.6630507
Abl2,ENSMUSG00000026596,Gene Expression,105,True,0.062589586,0.6973703,0.8463172
Ralgps2,ENSMUSG00000026594,Gene Expression,190,True,0.13962077,0.57697403,0.5260574
4930523C07Rik,ENSMUSG00000090394,Gene Expression,1451,True,1.1164837,0.67774403,0.29485807
Rabgap1l,ENSMUSG00000026721,Gene Expression,638,True,0.46198118,0.6508031,0.7881182
Zbtb37,ENSMUSG00000043467,Gene Expression,90,True,0.060256384,0.46728316,0.23427457
Fasl,ENSMUSG00000000817,Gene Expression,232,True,0.116079345,0.4583226,0.21043909
Mettl13,ENSMUSG00000026694,Gene Expression,76,True,0.048918,0.60525566,0.6012879
Gorab,ENSMUSG00000040124,Gene Expression,47,True,0.029611548,0.58344465,0.5432696
Mettl18,ENSMUSG00000041396,Gene Expression,74,True,0.05397517,0.7939078,1.1031115
Sell,ENSMUSG00000026581,Gene Expression,813,True,1.0411228,1.4175229,1.1578501
Ccdc181,ENSMUSG00000026578,Gene Expression,80,True,0.047130153,0.51311994,0.35620254
Atp1b1,ENSMUSG00000026576,Gene Expression,192,True,0.20035566,0.81601834,1.1619265
Xcl1,ENSMUSG00000026573,Gene Expression,51,True,0.05503689,1.395782,2.7041252
Dcaf6,ENSMUSG00000026571,Gene Expression,68,True,0.055623446,0.60279256,0.5947359
Rcsd1,ENSMUSG00000040723,Gene Expression,769,True,0.5254656,0.61879206,0.6781741
Creg1,ENSMUSG00000040713,Gene Expression,291,True,0.18723527,0.692199,0.83256125
Pou2f1,ENSMUSG00000026565,Gene Expression,200,True,0.13464527,1.4723061,2.9076831
Sh2d1b1,ENSMUSG00000102418,Gene Expression,9,True,0.017768146,1.9530628,4.186518
Fcgr2b,ENSMUSG00000026656,Gene Expression,47,True,0.031548556,0.71401554,0.8905943
Fcgr4,ENSMUSG00000059089,Gene Expression,6,True,0.021940248,2.3841836,5.3333197
Fcgr3,ENSMUSG00000059498,Gene Expression,21,True,0.037509497,1.6156881,3.2890859
Fcer1g,ENSMUSG00000058715,Gene Expression,85,True,0.34420225,3.4412496,10.372099
B930036N10Rik,ENSMUSG00000091993,Gene Expression,292,True,0.18158443,0.67654353,0.790917
Cd244,ENSMUSG00000004709,Gene Expression,76,True,0.047544982,0.90392584,1.3957646
Cd48,ENSMUSG00000015355,Gene Expression,1500,True,1.5291082,1.3573425,0.9282395
Slamf1,ENSMUSG00000015316,Gene Expression,208,True,0.104782075,0.55928576,0.4790058
Cd84,ENSMUSG00000038147,Gene Expression,767,True,0.5150317,0.73331994,1.071528
Gm37065,ENSMUSG00000104413,Gene Expression,117,True,0.081966124,0.6687567,0.7702037
Slamf6,ENSMUSG00000015314,Gene Expression,839,True,0.65814537,0.9232857,1.6807696
Vangl2,ENSMUSG00000026556,Gene Expression,17,True,0.015080419,0.8552436,1.2662677
Tagln2,ENSMUSG00000026547,Gene Expression,1691,True,1.8644052,1.1564525,0.54702276
Dusp23,ENSMUSG00000026544,Gene Expression,46,True,0.040987883,1.2174276,2.2296941
Aim2,ENSMUSG00000037860,Gene Expression,177,True,0.12849846,0.53297,0.4090047
Ifi206,ENSMUSG00000037849,Gene Expression,935,True,0.7243355,0.7394697,1.0072551
Ifi214,ENSMUSG00000070501,Gene Expression,364,True,0.24969563,0.4722109,0.24738261
Ifi213,ENSMUSG00000073491,Gene Expression,340,True,0.2783992,0.6472786,0.7760131
Ifi208,ENSMUSG00000066677,Gene Expression,408,True,0.3222687,0.6930386,0.9331789
Ifi204,ENSMUSG00000073489,Gene Expression,24,True,0.020107817,1.1954898,2.1713386
Ifi211,ENSMUSG00000026536,Gene Expression,84,True,0.040299915,0.47630313,0.25826812
Cep170,ENSMUSG00000057335,Gene Expression,95,True,0.0578338,0.46226555,0.22092749
Zbtb18,ENSMUSG00000063659,Gene Expression,16,True,0.020225475,1.7695782,3.6984408
Efcab2,ENSMUSG00000026495,Gene Expression,82,True,0.05134679,0.4831572,0.27650023
Smyd3,ENSMUSG00000055067,Gene Expression,160,True,0.10623567,0.50254077,0.32806146
Ahctf1,ENSMUSG00000026491,Gene Expression,331,True,0.18749413,0.46268135,0.22203353
Coq8a,ENSMUSG00000026489,Gene Expression,31,True,0.029046973,1.3676747,2.6293585
Itpkb,ENSMUSG00000038855,Gene Expression,870,True,0.5874157,0.5759777,0.40820915
Sde2,ENSMUSG00000038806,Gene Expression,468,True,0.28523678,0.6957162,0.94237536
Tmem63a,ENSMUSG00000026519,Gene Expression,155,True,0.09249024,0.4676751,0.23531711
Ephx1,ENSMUSG00000038776,Gene Expression,52,True,0.04903277,0.65701914,0.7389812
Wdr26,ENSMUSG00000038733,Gene Expression,648,True,0.41878718,0.52450025,0.35432237
Lbr,ENSMUSG00000004880,Gene Expression,1082,True,0.78507006,0.5654033,0.3694638
Mia3,ENSMUSG00000056050,Gene Expression,498,True,0.29540753,0.51667696,0.32745275
Dusp10,ENSMUSG00000039384,Gene Expression,328,True,0.23342836,0.5734495,0.516682
1700056E22Rik,ENSMUSG00000044854,Gene Expression,96,True,0.06206112,0.46265706,0.22196893
4930532G15Rik,ENSMUSG00000097261,Gene Expression,23,True,0.014101316,0.5982018,0.58252436
Cenpf,ENSMUSG00000026605,Gene Expression,360,True,0.37033182,1.4241325,3.4441712
Rps6kc1,ENSMUSG00000089872,Gene Expression,23,True,0.01522395,0.61035067,0.61484087
D730003I15Rik,ENSMUSG00000073478,Gene Expression,100,True,0.07596784,0.6743035,0.7849583
Nenf,ENSMUSG00000037499,Gene Expression,244,True,0.14319076,0.6346333,0.6794338
Dtl,ENSMUSG00000037474,Gene Expression,426,True,0.24103905,0.6742221,0.78474194
4930570N18Rik,ENSMUSG00000089683,Gene Expression,162,True,0.1033906,0.4809196,0.27054814
Lamb3,ENSMUSG00000026639,Gene Expression,599,True,0.3904994,0.67231786,0.86201215
Hsd11b1,ENSMUSG00000016194,Gene Expression,1112,True,0.7880805,0.6011078,0.50028753
G0s2,ENSMUSG00000009633,Gene Expression,174,True,0.119277865,0.608796,0.6107054
Frmd4a,ENSMUSG00000026657,Gene Expression,36,True,0.028071372,0.5462826,0.44441676
Camk1d,ENSMUSG00000039145,Gene Expression,253,True,0.15502925,0.4837105,0.27797204
Usp6nl,ENSMUSG00000039046,Gene Expression,43,True,0.030573856,0.9702167,1.5721014
Gata3,ENSMUSG00000015619,Gene Expression,385,True,0.2627769,0.61813873,0.6355575
Kin,ENSMUSG00000037262,Gene Expression,386,True,0.22696383,0.51425487,0.35922152
Itih5,ENSMUSG00000025780,Gene Expression,50,True,0.024834646,1.0947471,1.9033581
Sfmbt2,ENSMUSG00000061186,Gene Expression,36,True,0.025771853,0.5109668,0.35047504
Il15ra,ENSMUSG00000023206,Gene Expression,166,True,0.09790524,0.53779674,0.42184398
Vim,ENSMUSG00000026728,Gene Expression,1506,True,2.2540383,2.2613058,1.7700456
Nsun6,ENSMUSG00000026707,Gene Expression,172,True,0.107815936,0.5195569,0.3733251
Arl5b,ENSMUSG00000017418,Gene Expression,117,True,0.071793206,0.5541285,0.46528733
Plxdc2,ENSMUSG00000026748,Gene Expression,22,True,0.0252902,1.3182825,2.497973
Mllt10,ENSMUSG00000026743,Gene Expression,610,True,0.3823562,0.51920587,0.33613846
Msrb2,ENSMUSG00000023094,Gene Expression,106,True,0.0706116,0.499163,0.31907645
Otud1,ENSMUSG00000043415,Gene Expression,105,True,0.07707777,0.5151104,0.3614972
Arhgap21,ENSMUSG00000036591,Gene Expression,23,True,0.012627718,0.63210034,0.672696
Thnsl1,ENSMUSG00000048550,Gene Expression,24,True,0.022101473,0.66378605,0.7569815
Psd4,ENSMUSG00000026979,Gene Expression,360,True,0.21377596,0.4757042,0.25667492
Dph7,ENSMUSG00000026975,Gene Expression,130,True,0.078980245,0.45523998,0.20223914
Pnpla7,ENSMUSG00000036833,Gene Expression,171,True,0.12806432,0.5651782,0.49468002
Tor4a,ENSMUSG00000059555,Gene Expression,92,True,0.058568355,0.46223462,0.2208452
Tubb4b,ENSMUSG00000036752,Gene Expression,1116,True,1.2235574,1.737818,3.7829638
Paxx,ENSMUSG00000047617,Gene Expression,551,True,0.36125377,0.5643264,0.49110806
Tmem141,ENSMUSG00000026939,Gene Expression,48,True,0.032984726,0.75742185,1.0060571
Bmyc,ENSMUSG00000049086,Gene Expression,104,True,0.07716856,0.54495424,0.44088328
Nacc2,ENSMUSG00000026932,Gene Expression,23,True,0.0206365,0.5269823,0.3930771
Fam69b,ENSMUSG00000036186,Gene Expression,29,True,0.014503548,0.5551451,0.4679914
Lcn4,ENSMUSG00000026919,Gene Expression,375,True,0.2885184,0.6088235,0.6439363
Med22,ENSMUSG00000015776,Gene Expression,116,True,0.066398636,0.5805255,0.5355046
Cacfd1,ENSMUSG00000015488,Gene Expression,196,True,0.12622935,0.57905596,0.53159547
Gtf3c4,ENSMUSG00000035666,Gene Expression,75,True,0.042552557,0.7796969,1.0653098
Ddx31,ENSMUSG00000026806,Gene Expression,131,True,0.07201499,0.6133582,0.62284106
Ttf1,ENSMUSG00000026803,Gene Expression,386,True,0.24316724,0.5698745,0.5071724
Setx,ENSMUSG00000043535,Gene Expression,567,True,0.36053875,0.57502073,0.52783847
Sptan1,ENSMUSG00000057738,Gene Expression,596,True,0.35231447,0.512341,0.31256068
Zdhhc12,ENSMUSG00000015335,Gene Expression,223,True,0.12906498,0.46432832,0.22641455
Zer1,ENSMUSG00000039686,Gene Expression,220,True,0.155711,0.59514135,0.5743834
Tbc1d13,ENSMUSG00000039678,Gene Expression,84,True,0.047301125,0.5301422,0.40148252
Usp20,ENSMUSG00000026854,Gene Expression,90,True,0.054361805,0.47537336,0.25579485
Gpr107,ENSMUSG00000000194,Gene Expression,271,True,0.14514413,0.48596856,0.2839786
Ass1,ENSMUSG00000076441,Gene Expression,427,True,0.3083541,0.5732761,0.5218464
Fam78a,ENSMUSG00000050592,Gene Expression,643,True,0.4545184,0.5986885,0.609127
Lcn2,ENSMUSG00000026822,Gene Expression,3,True,0.022003314,3.1781943,7.4454255
Naif1,ENSMUSG00000039164,Gene Expression,43,True,0.025312264,0.47894788,0.26530325
Fam102a,ENSMUSG00000039157,Gene Expression,350,True,0.26423886,0.6595032,0.74558896
Eng,ENSMUSG00000026814,Gene Expression,43,True,0.039740432,0.6197967,0.63996774
Fpgs,ENSMUSG00000009566,Gene Expression,73,True,0.044320438,0.45728642,0.20768276
Cdk9,ENSMUSG00000009555,Gene Expression,704,True,0.4412053,0.49273607,0.24522611
Rpl12,ENSMUSG00000038900,Gene Expression,1896,True,3.6727505,2.3459,0.96322966
Ralgps1,ENSMUSG00000038831,Gene Expression,43,True,0.036486465,1.0468248,1.7758827
Zbtb34,ENSMUSG00000068966,Gene Expression,27,True,0.016085193,0.456105,0.20454012
Mvb12b,ENSMUSG00000038740,Gene Expression,88,True,0.06003494,0.49203563,0.30011728
Hspa5,ENSMUSG00000026864,Gene Expression,1333,True,1.0391723,0.7410736,0.2110247
Traf1,ENSMUSG00000026875,Gene Expression,873,True,0.614454,0.6252273,0.588663
Gsn,ENSMUSG00000026879,Gene Expression,370,True,0.27356252,0.64708626,0.7753525
Rc3h2,ENSMUSG00000075376,Gene Expression,288,True,0.18246523,0.5337968,0.41120395
Rabgap1,ENSMUSG00000035437,Gene Expression,231,True,0.15214853,0.4829145,0.27585468
Dennd1a,ENSMUSG00000035392,Gene Expression,171,True,0.10583363,0.50791657,0.34236133
Golga1,ENSMUSG00000026754,Gene Expression,117,True,0.08212107,0.5410106,0.43039307
Arhgap15,ENSMUSG00000049744,Gene Expression,1125,True,0.78839236,0.61068904,0.53539395
Gtdc1,ENSMUSG00000036890,Gene Expression,122,True,0.0635279,0.81053287,1.1473349
Zeb2,ENSMUSG00000026872,Gene Expression,457,True,0.37789696,1.2312374,2.7816598
Lypd6b,ENSMUSG00000026765,Gene Expression,47,True,0.049998857,1.1272808,1.9898995
Nr4a2,ENSMUSG00000026826,Gene Expression,354,True,0.23121984,1.0901827,1.8912166
Gpd2,ENSMUSG00000026827,Gene Expression,292,True,0.15648259,0.636045,0.6831889
Pkp4,ENSMUSG00000026991,Gene Expression,281,True,0.20518412,0.5911328,0.56372046
Dapl1,ENSMUSG00000026989,Gene Expression,580,True,1.3431463,2.3988814,2.5694122
Tanc1,ENSMUSG00000035168,Gene Expression,213,True,0.16315372,1.0574517,1.8041508
Baz2b,ENSMUSG00000026987,Gene Expression,373,True,0.26340517,0.6529947,0.72827595
March7,ENSMUSG00000026977,Gene Expression,767,True,0.49743965,0.49170238,0.24167582
Ly75,ENSMUSG00000026980,Gene Expression,233,True,0.14533225,0.4980894,0.3162206
Dpp4,ENSMUSG00000035000,Gene Expression,574,True,0.37804434,0.7951887,1.2840205
Spc25,ENSMUSG00000005233,Gene Expression,336,True,0.23511094,0.64141387,0.6974704
Ccdc173,ENSMUSG00000070883,Gene Expression,25,True,0.02048807,0.49696067,0.31321815
Mettl8,ENSMUSG00000041975,Gene Expression,122,True,0.08976268,0.49347687,0.30395105
Dcaf17,ENSMUSG00000041966,Gene Expression,322,True,0.21281254,0.48590103,0.28379896
Dync1i2,ENSMUSG00000027012,Gene Expression,987,True,0.6688976,0.5740451,0.4011281
Metap1d,ENSMUSG00000041921,Gene Expression,120,True,0.08217171,0.7576384,1.0066332
Pdk1,ENSMUSG00000006494,Gene Expression,500,True,0.43878886,0.8298935,1.4032166
Rapgef4,ENSMUSG00000049044,Gene Expression,107,True,0.09608362,0.529202,0.39898154
Cir1,ENSMUSG00000041777,Gene Expression,628,True,0.42172143,0.51051944,0.30630434
Gpr155,ENSMUSG00000041762,Gene Expression,24,True,0.01534221,0.49529603,0.30879012
Lnpk,ENSMUSG00000009207,Gene Expression,317,True,0.17136927,0.46409753,0.22580063
Nfe2l2,ENSMUSG00000015839,Gene Expression,389,True,0.26733842,0.48764053,0.22772513
Rbm45,ENSMUSG00000042369,Gene Expression,105,True,0.06236246,0.78563976,1.0811181
Prkra,ENSMUSG00000002731,Gene Expression,50,True,0.033276673,0.4618595,0.21984735
Fkbp7,ENSMUSG00000002732,Gene Expression,22,True,0.014201022,0.5248808,0.38748705
Itga4,ENSMUSG00000027009,Gene Expression,1255,True,1.1396459,0.96661466,1.2453684
Calcrl,ENSMUSG00000059588,Gene Expression,102,True,0.064343,0.5427192,0.43493792
Selenoh,ENSMUSG00000076437,Gene Expression,1254,True,1.1108371,0.7049903,0.38451025
Ube2l6,ENSMUSG00000027078,Gene Expression,87,True,0.060227744,0.8098867,1.145616
Tnks1bp1,ENSMUSG00000033955,Gene Expression,62,True,0.030985584,0.49818718,0.31648073
Spi1,ENSMUSG00000002111,Gene Expression,12,True,0.036024727,2.4721997,5.5674467
Madd,ENSMUSG00000040687,Gene Expression,542,True,0.33945274,0.5124455,0.31291953
A330069E16Rik,ENSMUSG00000097868,Gene Expression,64,True,0.06219214,2.9502347,6.839042
Atg13,ENSMUSG00000027244,Gene Expression,173,True,0.11121218,0.45663875,0.20595993
Harbi1,ENSMUSG00000027243,Gene Expression,93,True,0.06681488,0.91103727,1.4146813
Ambra1,ENSMUSG00000040506,Gene Expression,140,True,0.08680737,0.8350321,1.212504
Phf21a,ENSMUSG00000058318,Gene Expression,309,True,0.20966214,0.6705085,0.77486354
Cry2,ENSMUSG00000068742,Gene Expression,35,True,0.022930188,0.46440282,0.22661273
Trp53i11,ENSMUSG00000068735,Gene Expression,410,True,0.24713995,0.47693935,0.25996047
Cd82,ENSMUSG00000027215,Gene Expression,1122,True,0.7783084,0.62409544,0.58451587
Cd44,ENSMUSG00000005087,Gene Expression,454,True,0.24870533,0.5619947,0.48621163
Cat,ENSMUSG00000027187,Gene Expression,489,True,0.28742242,0.48563847,0.22084892
Fbxo3,ENSMUSG00000027180,Gene Expression,357,True,0.20689723,0.46412376,0.2258704
Cstf3,ENSMUSG00000027176,Gene Expression,460,True,0.27333066,0.48796314,0.22883315
Arl14ep,ENSMUSG00000027122,Gene Expression,138,True,0.07860266,0.554578,0.46648297
Ccdc34,ENSMUSG00000027160,Gene Expression,482,True,0.33131748,0.55300903,0.45223776
Slc12a6,ENSMUSG00000027130,Gene Expression,243,True,0.15371983,0.52724093,0.39376506
