# Program:featureCounts v1.5.2; Command:"featureCounts" "-T" "8" "-t" "exon" "-f" "-g" "ID" "-p" "-O" "-a" "/gpfs/group/pipkin/Exp337/codes/GRCm38_exon_rmdup_srt_cb_srt_dupr_f.gff" "-o" "337-17_f.txt" "/gpfs/group/pipkin/Exp337/srt_flt_bam/non_dupr/stranded_bam/337-17_neg_pSrt.bam" 
Geneid	Chr	Start	End	Strand	Length	/gpfs/group/pipkin/Exp337/srt_flt_bam/non_dupr/stranded_bam/337-17_neg_pSrt.bam
ENSMUSE00001146417	1	9548055	9580673	+	32619	136
ENSMUSE00001238822	1	9548107	9555568	+	7462	45
ENSMUSE00000713089	1	9574548	9575649	+	1102	33
ENSMUSE00000553798	1	9601199	9627143	+	25945	3
ENSMUSE00001104564	1	9747648	9791922	+	44275	27
ENSMUSE00001144804	1	9747956	9791924	+	43969	27
ENSMUSE00001175967	1	9783778	9791164	+	7387	1
ENSMUSE00001320401	1	9798107	9900843	+	102737	259
ENSMUSE00000553717	1	9798143	9900845	+	102703	259
ENSMUSE00001332231	1	9798158	9830338	+	32181	22
ENSMUSE00001317996	1	9848321	9872554	+	24234	55
ENSMUSE00001323164	1	9883467	9889077	+	5611	37
ENSMUSE00001328436	1	9895427	9899174	+	3748	34
ENSMUSE00000441750	1	9908638	9940954	+	32317	175
ENSMUSE00000403774	1	9908668	9942085	+	33418	180
ENSMUSE00001272844	1	9932120	9940954	+	8835	28
ENSMUSE00001338319	1	9967314	9968687	+	1374	0
ENSMUSE00000793282	1	9982387	9992366	+	9980	1
ENSMUSE00001330861	1	10037987	10039342	+	1356	16
ENSMUSE00001328527	1	10038006	10047534	+	9529	51
ENSMUSE00001308033	1	10038217	10136768	+	98552	1057
ENSMUSE00000813321	1	10038226	10061771	+	23546	134
ENSMUSE00001290187	1	10038249	10059991	+	21743	112
ENSMUSE00001291361	1	10039767	10058872	+	19106	89
ENSMUSE00001255443	1	10046493	10136145	+	89653	992
ENSMUSE00001375985	1	10056924	10066575	+	9652	97
ENSMUSE00001329916	1	10071183	10076191	+	5009	121
ENSMUSE00001335581	1	10074382	10085817	+	11436	139
ENSMUSE00001296903	1	10074860	10084073	+	9214	106
ENSMUSE00001264927	1	10074913	10090255	+	15343	162
ENSMUSE00001232269	1	10087747	10090317	+	2571	22
ENSMUSE00001319119	1	10095864	10108554	+	12691	74
ENSMUSE00001320539	1	10104228	10108543	+	4316	34
ENSMUSE00000437961	1	10112876	10134173	+	21298	329
ENSMUSE00000842702	1	10115425	10116731	+	1307	33
ENSMUSE00000785480	1	10125984	10130018	+	4035	37
ENSMUSE00001214644	1	10129959	10133461	+	3503	29
ENSMUSE00000757737	1	10133970	10136322	+	2353	33
ENSMUSE00000846663	1	10166539	10166778	+	240	0
ENSMUSE00000714198	1	10695123	10695614	+	492	0
ENSMUSE00001328030	1	10805281	10806522	+	1242	2
ENSMUSE00001332127	1	10868688	10869446	+	759	0
ENSMUSE00000847095	1	10921670	10921760	+	91	0
ENSMUSE00000604640	1	10993465	11303681	+	310217	57
ENSMUSE00001323408	1	10993518	10996601	+	3084	1
ENSMUSE00001327265	1	11098530	11150071	+	51542	7
ENSMUSE00001329717	1	11140691	11160596	+	19906	1
ENSMUSE00001322541	1	11258067	11297898	+	39832	18
ENSMUSE00000317484	1	11258106	11298005	+	39900	18
ENSMUSE00001319596	1	11263963	11299594	+	35632	5
ENSMUSE00001323222	1	11283993	11298204	+	14212	2
ENSMUSE00000728032	1	11414105	11975901	+	561797	131
ENSMUSE00001265206	1	11414112	11537707	+	123596	18
ENSMUSE00001321665	1	11414112	11975397	+	561286	131
ENSMUSE00001338877	1	11416918	11419388	+	2471	2
ENSMUSE00001324278	1	11518671	11599993	+	81323	9
ENSMUSE00001318393	1	11579306	11596631	+	17326	1
ENSMUSE00001339941	1	11704207	11706350	+	2144	2
ENSMUSE00001323765	1	12120960	12121832	+	873	0
ENSMUSE00001002979	1	12374936	12375042	+	107	0
ENSMUSE00001315176	1	12425986	12426106	+	121	0
ENSMUSE00001117731	1	12565577	12566383	+	807	0
ENSMUSE00001310078	1	12655867	12656553	+	687	0
ENSMUSE00001114091	1	12667563	12673090	+	5528	0
ENSMUSE00001332287	1	12692277	12861192	+	168916	16
ENSMUSE00000360632	1	12692323	12860371	+	168049	16
ENSMUSE00000412216	1	12692532	12860377	+	167846	16
ENSMUSE00001331115	1	12836028	12840497	+	4470	1
ENSMUSE00000630782	1	12842791	12861192	+	18402	1
ENSMUSE00000576165	1	13062025	13062345	+	321	0
ENSMUSE00001331416	1	13068838	13078662	+	9825	0
ENSMUSE00001317776	1	13262198	13262279	+	82	0
ENSMUSE00001331848	1	13376070	13388413	+	12344	26
ENSMUSE00000553058	1	13668771	13701723	+	32953	0
ENSMUSE00000847868	1	13932378	13932685	+	308	0
ENSMUSE00000966774	1	14182578	14182677	+	100	0
ENSMUSE00001325743	1	14752937	14776931	+	23995	3
ENSMUSE00000458133	1	14755454	14758373	+	2920	0
ENSMUSE00001343997	1	14788645	14792965	+	4321	0
ENSMUSE00000712472	1	14865072	14865965	+	894	50
ENSMUSE00000959346	1	15287254	15712548	+	425295	51
ENSMUSE00000901644	1	15312452	15723750	+	411299	51
ENSMUSE00001338186	1	15364302	15365834	+	1533	0
ENSMUSE00001338750	1	15556249	15558337	+	2089	1
ENSMUSE00000664342	1	15757832	15757963	+	132	0
ENSMUSE00001323159	1	15760761	15760860	+	100	0
ENSMUSE00001335144	1	15805646	15844052	+	38407	911
ENSMUSE00001328383	1	15805657	15822015	+	16359	539
ENSMUSE00000323790	1	15805664	15843470	+	37807	902
ENSMUSE00001332309	1	15807641	15822103	+	14463	503
ENSMUSE00001339118	1	15853331	15856499	+	3169	32
ENSMUSE00000847453	1	15879530	15879832	+	303	0
ENSMUSE00001333874	1	16053335	16053887	+	553	0
ENSMUSE00000333451	1	16105774	16133734	+	27961	147
ENSMUSE00000752331	1	16130502	16132547	+	2046	10
ENSMUSE00001330863	1	16228506	16244062	+	15557	3
ENSMUSE00000851730	1	16253592	16267921	+	14330	2
ENSMUSE00000856646	1	16253629	16258857	+	5229	0
ENSMUSE00001344677	1	16618560	16621539	+	2980	2
ENSMUSE00001129360	1	16657552	16662278	+	4727	1
ENSMUSE00000955715	1	16665207	16678195	+	12989	61
ENSMUSE00000949710	1	16665210	16677215	+	12006	56
ENSMUSE00000962983	1	16665210	16678275	+	13066	61
ENSMUSE00000956845	1	16665236	16665811	+	576	9
ENSMUSE00001323570	1	16688051	16691947	+	3897	1
ENSMUSE00000153123	1	16688433	16709611	+	21179	9
ENSMUSE00000153122	1	16688508	16709537	+	21030	9
ENSMUSE00001321406	1	16898185	17091631	+	193447	41
ENSMUSE00001342986	1	16930970	16931796	+	827	0
ENSMUSE00001335933	1	17124747	17128956	+	4210	0
ENSMUSE00000744355	1	17145362	17164271	+	18910	1
ENSMUSE00000153118	1	17145404	17158744	+	13341	0
ENSMUSE00001320519	1	17145468	17161631	+	16164	0
ENSMUSE00001333532	1	17158370	17162049	+	3680	1
ENSMUSE00001322417	1	17168403	17173103	+	4701	0
ENSMUSE00001326895	1	17394958	17395429	+	472	7
ENSMUSE00000848044	1	17520001	17520111	+	111	0
ENSMUSE00000552637	1	17601901	17630939	+	29039	2
ENSMUSE00000853181	1	17727045	17765575	+	38531	7
ENSMUSE00000343325	1	17727059	17766344	+	39286	8
ENSMUSE00001319771	1	17947041	17948439	+	1399	22
ENSMUSE00001331993	1	17993813	17997483	+	3671	3
ENSMUSE00001335677	1	18708428	18709336	+	909	0
ENSMUSE00001322495	1	19037266	19037377	+	112	2
ENSMUSE00001320153	1	19062857	19063135	+	279	0
ENSMUSE00000320302	1	19103022	19166346	+	63325	2
ENSMUSE00000739065	1	19107181	19148367	+	41187	1
ENSMUSE00000335163	1	19208914	19238576	+	29663	2
ENSMUSE00000456367	1	19208960	19238083	+	29124	2
ENSMUSE00001328637	1	19212306	19214442	+	2137	0
ENSMUSE00001335930	1	19213879	19219253	+	5375	0
ENSMUSE00001329976	1	19242725	19243769	+	1045	0
ENSMUSE00001330333	1	19330939	19333184	+	2246	74
ENSMUSE00001345365	1	19614269	19616767	+	2499	0
ENSMUSE00001332535	1	20356452	20392300	+	35849	3
ENSMUSE00001431675	1	20669882	20682958	+	13077	0
ENSMUSE00000522784	1	20679010	20679082	+	73	0
ENSMUSE00001333839	1	20679023	20684298	+	5276	0
ENSMUSE00000522705	1	20682769	20682887	+	119	0
ENSMUSE00000154269	1	20730905	20734496	+	3592	0
ENSMUSE00001327913	1	20821331	20822516	+	1186	0
ENSMUSE00001322052	1	20836661	20839689	+	3029	2
ENSMUSE00000702429	1	20890606	20939650	+	49045	96
ENSMUSE00000359134	1	20917840	20939055	+	21216	37
ENSMUSE00001324966	1	20945711	20946914	+	1204	3
ENSMUSE00000866389	1	20951626	20955527	+	3902	7
ENSMUSE00000307757	1	20951688	20990841	+	39154	64
ENSMUSE00001322050	1	21080114	21081748	+	1635	0
ENSMUSE00001335804	1	21178988	21187427	+	8440	0
ENSMUSE00000869172	1	21218575	21230167	+	11593	5
ENSMUSE00000154283	1	21218662	21230164	+	11503	5
ENSMUSE00001337510	1	21234722	21236821	+	2100	1
ENSMUSE00000783693	1	21240589	21265661	+	25073	11
ENSMUSE00001250100	1	21240607	21265021	+	24415	11
ENSMUSE00001323225	1	21240629	21264846	+	24218	11
ENSMUSE00001335002	1	21253521	21256312	+	2792	1
ENSMUSE00001057894	1	21272403	21272906	+	504	0
ENSMUSE00000552033	1	21349641	21352200	+	2560	0
ENSMUSE00000801083	1	21354005	21355116	+	1112	0
ENSMUSE00001043125	1	21364803	21365030	+	228	0
ENSMUSE00000604341	1	21368331	21370845	+	2515	2
ENSMUSE00000777650	1	21372670	21373764	+	1095	0
ENSMUSE00001080066	1	21379555	21379782	+	228	0
ENSMUSE00000812190	1	21383556	21386373	+	2818	0
ENSMUSE00000746613	1	21390906	21391101	+	196	0
ENSMUSE00001159547	1	21959842	21962530	+	2689	0
ENSMUSE00001335324	1	22237849	22238295	+	447	0
ENSMUSE00001166640	1	22740764	22741565	+	802	0
ENSMUSE00000848063	1	23245211	23245331	+	121	0
ENSMUSE00000522630	1	23272269	23272339	+	71	0
ENSMUSE00001299960	1	23291537	23291935	+	399	1
ENSMUSE00000522792	1	23291701	23291784	+	84	1
ENSMUSE00001325996	1	23293729	23294075	+	347	0
ENSMUSE00001141295	1	23479539	23480527	+	989	1
ENSMUSE00001329771	1	23574587	23596664	+	22078	1
ENSMUSE00000843988	1	23761753	23815740	+	53988	4
ENSMUSE00000828983	1	23761926	23849158	+	87233	7
ENSMUSE00000415509	1	23762011	23815739	+	53729	4
ENSMUSE00001341802	1	24005505	24005894	+	390	0
ENSMUSE00001339614	1	24005507	24005894	+	388	0
ENSMUSE00001341604	1	24100625	24103424	+	2800	0
ENSMUSE00001106756	1	24125275	24126141	+	867	0
ENSMUSE00000779838	1	24177610	24252684	+	75075	11
ENSMUSE00000630577	1	24195187	24252684	+	57498	10
ENSMUSE00000771935	1	24197017	24220785	+	23769	7
ENSMUSE00000824430	1	24229517	24230955	+	1439	0
ENSMUSE00000438739	1	24678630	24765448	+	86819	2034
ENSMUSE00001332512	1	24678660	24731894	+	53235	1413
ENSMUSE00000604180	1	24678926	24766301	+	87376	2050
ENSMUSE00001328337	1	24728642	24744948	+	16307	357
ENSMUSE00000604170	1	24744873	24762393	+	17521	275
ENSMUSE00001325958	1	25011941	25012756	+	816	0
ENSMUSE00000718074	1	25223730	25224173	+	444	0
ENSMUSE00000722672	1	25451071	25451174	+	104	0
ENSMUSE00001343258	1	25830657	25831878	+	1222	0
ENSMUSE00001327480	1	26466236	26466886	+	651	0
ENSMUSE00000846621	1	26566833	26566938	+	106	0
ENSMUSE00001335968	1	27884046	27902396	+	18351	1
ENSMUSE00001318485	1	27989910	27991782	+	1873	57
ENSMUSE00001346211	1	28569918	28571431	+	1514	0
ENSMUSE00000515713	1	28938036	28938339	+	304	0
ENSMUSE00001322232	1	29219700	29220249	+	550	0
ENSMUSE00000707877	1	29301480	29301579	+	100	0
ENSMUSE00001317458	1	29421488	29421612	+	125	0
ENSMUSE00001328586	1	29930094	29930715	+	622	1
ENSMUSE00001073847	1	29985934	29986043	+	110	0
ENSMUSE00001331888	1	30769687	30771815	+	2129	18
ENSMUSE00001334083	1	31041919	31043675	+	1757	0
ENSMUSE00001324309	1	31136026	31150105	+	14080	0
ENSMUSE00001335396	1	31164549	31164773	+	225	0
ENSMUSE00000357611	1	31176401	31204725	+	28325	2
ENSMUSE00001319148	1	31189470	31204725	+	15256	1
ENSMUSE00000155452	1	31222838	31224288	+	1451	0
ENSMUSE00001335421	1	31267326	31267884	+	559	0
ENSMUSE00001320447	1	31274892	31275455	+	564	0
ENSMUSE00000974500	1	31286945	31287640	+	696	0
ENSMUSE00001324636	1	31559540	31561400	+	1861	0
ENSMUSE00000604018	1	31615149	31616661	+	1513	9
ENSMUSE00000710475	1	31736057	31736891	+	835	1
ENSMUSE00001330080	1	32172714	32658568	+	485855	44
ENSMUSE00001327350	1	32172729	32246878	+	74150	9
ENSMUSE00000314986	1	32172748	32338354	+	165607	21
ENSMUSE00001321831	1	32315015	32414934	+	99920	12
ENSMUSE00001343665	1	32473757	32475565	+	1809	0
ENSMUSE00001345284	1	32485315	32486942	+	1628	2
ENSMUSE00001340606	1	32496444	32497988	+	1545	0
ENSMUSE00001339568	1	32539028	32542440	+	3413	0
ENSMUSE00001340659	1	32710179	32712648	+	2470	0
ENSMUSE00000847905	1	32726639	32726930	+	292	0
ENSMUSE00001337817	1	33065130	33066350	+	1221	4
ENSMUSE00001336080	1	33100907	33102695	+	1789	15
ENSMUSE00000847260	1	33191993	33192102	+	110	0
ENSMUSE00001324065	1	33235939	33237631	+	1693	0
ENSMUSE00000522448	1	33293676	33293775	+	100	0
ENSMUSE00001321351	1	33371331	33373585	+	2255	13
ENSMUSE00000522485	1	33422733	33422838	+	106	0
ENSMUSE00001331817	1	33482101	33482518	+	418	0
ENSMUSE00001331516	1	33657781	33658108	+	328	0
ENSMUSE00001341333	1	33669824	33670712	+	889	6
ENSMUSE00001344311	1	33669843	33670712	+	870	6
ENSMUSE00000838203	1	33719887	33726891	+	7005	33
ENSMUSE00000314015	1	33719895	33742564	+	22670	109
ENSMUSE00001291302	1	33734528	33740711	+	6184	39
ENSMUSE00001259247	1	33736657	33739370	+	2714	15
ENSMUSE00000797594	1	33738137	33740772	+	2636	13
ENSMUSE00001341229	1	33748007	33748347	+	341	0
ENSMUSE00001209361	1	33908225	34307592	+	399368	286
ENSMUSE00001339858	1	33922455	33924838	+	2384	5
ENSMUSE00001370886	1	34005880	34174795	+	168916	108
ENSMUSE00001372034	1	34006126	34308661	+	302536	271
ENSMUSE00001254967	1	34006180	34164700	+	158521	105
ENSMUSE00001343440	1	34032100	34033797	+	1698	0
ENSMUSE00001337074	1	34089292	34119153	+	29862	5
ENSMUSE00001355270	1	34117359	34117431	+	73	0
ENSMUSE00001240522	1	34121568	34154521	+	32954	6
ENSMUSE00001373845	1	34160330	34308404	+	148075	168
ENSMUSE00001229339	1	34161924	34165401	+	3478	2
ENSMUSE00001321242	1	34178906	34183247	+	4342	4
ENSMUSE00001371641	1	34236596	34274283	+	37688	45
ENSMUSE00001374678	1	34257836	34308404	+	50569	33
ENSMUSE00001318670	1	34270570	34272292	+	1723	0
ENSMUSE00001375945	1	34293455	34303463	+	10009	12
ENSMUSE00001375622	1	34294446	34306651	+	12206	11
ENSMUSE00001337147	1	34350775	34351161	+	387	1
ENSMUSE00001326203	1	34367371	34369003	+	1633	0
ENSMUSE00000701649	1	34439851	34449356	+	9506	578
ENSMUSE00001329092	1	34439898	34442569	+	2672	92
ENSMUSE00001341456	1	34439905	34444514	+	4610	309
ENSMUSE00001211447	1	34439937	34444027	+	4091	266
ENSMUSE00000732925	1	34439953	34443455	+	3503	175
ENSMUSE00001321276	1	34448247	34448938	+	692	35
ENSMUSE00001335524	1	34459762	34461056	+	1295	0
ENSMUSE00000998634	1	34459765	34473784	+	14020	56
ENSMUSE00001025700	1	34459777	34471917	+	12141	2
ENSMUSE00001329610	1	34459792	34471916	+	12125	2
ENSMUSE00001320498	1	34463271	34466866	+	3596	0
ENSMUSE00000311532	1	34472720	34475733	+	3014	111
ENSMUSE00001326315	1	34474499	34475733	+	1235	31
ENSMUSE00001331737	1	34498410	34503063	+	4654	11
ENSMUSE00001027644	1	34498421	34500132	+	1712	6
ENSMUSE00000405341	1	34535648	34544313	+	8666	0
ENSMUSE00000481534	1	34579657	34590944	+	11288	1
ENSMUSE00000854019	1	34678188	34812739	+	134552	163
ENSMUSE00000880582	1	34732115	34811829	+	79715	137
ENSMUSE00001274665	1	34750581	34807144	+	56564	77
ENSMUSE00001340650	1	34752775	34752922	+	148	0
ENSMUSE00001345861	1	34753123	34753477	+	355	0
ENSMUSE00001301105	1	34801704	34813309	+	11606	151
ENSMUSE00000850464	1	34801721	34809218	+	7498	95
ENSMUSE00001206219	1	34801722	34806698	+	4977	66
ENSMUSE00001382745	1	34801794	34801964	+	171	0
ENSMUSE00001344290	1	34823525	34826560	+	3036	3
ENSMUSE00000796599	1	34849976	34873956	+	23981	181
ENSMUSE00001330112	1	34849992	34879580	+	29589	235
ENSMUSE00001342290	1	34877656	34879577	+	1922	20
ENSMUSE00001339759	1	34928509	34930645	+	2137	1
ENSMUSE00001338676	1	34970065	34970500	+	436	0
ENSMUSE00001346153	1	34985656	34985890	+	235	0
ENSMUSE00000521825	1	35761602	35761706	+	105	0
ENSMUSE00001323928	1	35806974	35810462	+	3489	3
ENSMUSE00001341798	1	35879845	35881119	+	1275	0
ENSMUSE00001344447	1	35958919	35959822	+	904	0
ENSMUSE00001345058	1	36011072	36011894	+	823	0
ENSMUSE00000550610	1	36068400	36106446	+	38047	1116
ENSMUSE00001343269	1	36101690	36104980	+	3291	93
ENSMUSE00001340624	1	36132042	36138746	+	6705	4
ENSMUSE00000751848	1	36307733	36319203	+	11471	5948
ENSMUSE00001224245	1	36307754	36324029	+	16276	8042
ENSMUSE00001245300	1	36307754	36320528	+	12775	6677
ENSMUSE00001257314	1	36307754	36319887	+	12134	6333
ENSMUSE00001289272	1	36307754	36321071	+	13318	6997
ENSMUSE00001289829	1	36307754	36322991	+	15238	7801
ENSMUSE00001339647	1	36307758	36312771	+	5014	3183
ENSMUSE00001239587	1	36307769	36322988	+	15220	7801
ENSMUSE00000765983	1	36307779	36316578	+	8800	4705
ENSMUSE00001238638	1	36315992	36318136	+	2145	968
ENSMUSE00001340915	1	36332708	36333420	+	713	50
ENSMUSE00000977912	1	36372291	36422107	+	49817	8
ENSMUSE00000969171	1	36385464	36404829	+	19366	2
ENSMUSE00001339434	1	36416888	36422110	+	5223	0
ENSMUSE00000375113	1	36471620	36508764	+	37145	746
ENSMUSE00001342614	1	36471996	36473367	+	1372	92
ENSMUSE00001342624	1	36473952	36476110	+	2159	79
ENSMUSE00001354901	1	36506562	36506702	+	141	8
ENSMUSE00000630247	1	36511867	36528237	+	16371	655
ENSMUSE00000755353	1	36513097	36520435	+	7339	376
ENSMUSE00001344435	1	36518569	36519574	+	1006	41
ENSMUSE00000750292	1	36520761	36525600	+	4840	132
ENSMUSE00001340962	1	36557701	36559667	+	1967	0
ENSMUSE00000852680	1	36558359	36565613	+	7255	1
ENSMUSE00000858448	1	36601802	36602146	+	345	5
ENSMUSE00000664897	1	36663965	36664039	+	75	0
ENSMUSE00001438047	1	36691449	36693386	+	1938	59
ENSMUSE00000468512	1	36691484	36693681	+	2198	61
ENSMUSE00001340583	1	36691628	36692550	+	923	41
ENSMUSE00001337141	1	36691642	36692507	+	866	38
ENSMUSE00001343958	1	36691644	36693385	+	1742	59
ENSMUSE00001344082	1	36710149	36733881	+	23733	8
ENSMUSE00001345772	1	36714538	36757953	+	43416	18
ENSMUSE00001343913	1	36714546	36714938	+	393	0
ENSMUSE00001338996	1	36744355	36757826	+	13472	9
ENSMUSE00000353369	1	36761798	36782818	+	21021	2664
ENSMUSE00001325922	1	36766934	36771067	+	4134	344
ENSMUSE00001333040	1	36770992	36772375	+	1384	215
ENSMUSE00001335313	1	36778984	36782815	+	3832	877
ENSMUSE00001080802	1	37005439	37005557	+	119	0
ENSMUSE00000716244	1	37026596	37076996	+	50401	56
ENSMUSE00001337870	1	37029304	37076995	+	47692	56
ENSMUSE00000719321	1	37029384	37186609	+	157226	159
ENSMUSE00001343732	1	37100531	37109073	+	8543	8
ENSMUSE00001337052	1	37100668	37129019	+	28352	29
ENSMUSE00001342040	1	37135508	37141336	+	5829	3
ENSMUSE00001339986	1	37153849	37187605	+	33757	16
ENSMUSE00001277770	1	37186855	37187613	+	759	0
ENSMUSE00001336913	1	37214434	37241940	+	27507	1
ENSMUSE00000229318	1	37218379	37263384	+	45006	7
ENSMUSE00000736703	1	37299865	37348512	+	48648	320
ENSMUSE00000701200	1	37299891	37410736	+	110846	987
ENSMUSE00001341150	1	37299893	37302766	+	2874	39
ENSMUSE00000701199	1	37299915	37408733	+	108819	949
ENSMUSE00000865707	1	37357397	37408469	+	51073	592
ENSMUSE00000155872	1	37357919	37408259	+	50341	587
ENSMUSE00000155873	1	37369217	37404442	+	35226	456
ENSMUSE00000772535	1	37377672	37380075	+	2404	39
ENSMUSE00001342528	1	37430139	37438984	+	8846	409
ENSMUSE00000155855	1	37430170	37439124	+	8955	414
ENSMUSE00001304120	1	37430186	37437270	+	7085	349
ENSMUSE00000701079	1	37430208	37431554	+	1347	60
ENSMUSE00000712178	1	37431344	37437612	+	6269	328
ENSMUSE00000852990	1	37614259	37615372	+	1114	7
ENSMUSE00001338178	1	37660722	37662647	+	1926	1
ENSMUSE00001112896	1	37865299	37871388	+	6090	0
ENSMUSE00000800121	1	37871738	37875343	+	3606	5
ENSMUSE00000228153	1	37872206	37876228	+	4023	5
ENSMUSE00000777321	1	37872374	37875460	+	3087	5
ENSMUSE00000814478	1	37872562	37875554	+	2993	2
ENSMUSE00000857048	1	37890477	37898535	+	8059	75
ENSMUSE00000502144	1	37890532	37898364	+	7833	75
ENSMUSE00000467874	1	37890533	37893246	+	2714	42
ENSMUSE00000505735	1	37890543	37893984	+	3442	48
