# Program:featureCounts v1.5.2; Command:"featureCounts" "-T" "8" "-t" "exon" "-f" "-g" "ID" "-p" "-O" "-a" "/gpfs/group/pipkin/Exp337/codes/GRCm38_exon_rmdup_srt_cb_srt_dupr_r.gff" "-o" "337-6_r.txt" "/gpfs/group/pipkin/Exp337/srt_flt_bam/non_dupr/stranded_bam/337-6_pos_pSrt.bam" 
Geneid	Chr	Start	End	Strand	Length	/gpfs/group/pipkin/Exp337/srt_flt_bam/non_dupr/stranded_bam/337-6_pos_pSrt.bam
ENSMUSE00001345632	1	5276106	5277337	-	1232	0
ENSMUSE00001341829	1	5617837	5618230	-	394	0
ENSMUSE00000945922	1	5644645	5644745	-	101	0
ENSMUSE00001344175	1	5842874	5844672	-	1799	3
ENSMUSE00000230695	1	5913707	5917398	-	3692	1
ENSMUSE00001336803	1	6048963	6050045	-	1083	0
ENSMUSE00001343562	1	6209866	6215293	-	5428	63
ENSMUSE00000850919	1	6213293	6214590	-	1298	30
ENSMUSE00000630867	1	6214612	6215292	-	681	2
ENSMUSE00001343653	1	6382634	6383106	-	473	0
ENSMUSE00001345117	1	6429655	6441296	-	11642	45
ENSMUSE00001343905	1	6861237	6864151	-	2915	2
ENSMUSE00001229435	1	7136199	7136586	-	388	1
ENSMUSE00001340227	1	7189742	7189919	-	178	0
ENSMUSE00001116424	1	7349406	7397801	-	48396	220
ENSMUSE00001345075	1	7375886	7397795	-	21910	99
ENSMUSE00001340075	1	7375888	7397869	-	21982	99
ENSMUSE00001341418	1	7378687	7381389	-	2703	14
ENSMUSE00001340185	1	7728861	7730565	-	1705	1
ENSMUSE00000766828	1	8361475	9299878	-	938404	466
ENSMUSE00000805330	1	8361475	9298573	-	937099	466
ENSMUSE00001283395	1	8363183	8470520	-	107338	43
ENSMUSE00000229712	1	8363475	8803943	-	440469	247
ENSMUSE00001338148	1	8450960	8453491	-	2532	2
ENSMUSE00000837222	1	8468426	8468825	-	400	1
ENSMUSE00001342882	1	8527780	8531313	-	3534	6
ENSMUSE00001089168	1	8588615	8588724	-	110	0
ENSMUSE00001337805	1	8643696	8644859	-	1164	0
ENSMUSE00000710157	1	8791923	8792162	-	240	4
ENSMUSE00000727604	1	8855928	8856267	-	340	1
ENSMUSE00001343882	1	8950310	8952422	-	2113	2
ENSMUSE00000535591	1	8962996	8963621	-	626	1
ENSMUSE00001341429	1	9191067	9192116	-	1050	2
ENSMUSE00001345729	1	9258617	9259134	-	518	0
ENSMUSE00000633382	1	9396773	9398687	-	1915	4
ENSMUSE00001338516	1	9439741	9440376	-	636	0
ENSMUSE00001346128	1	9499338	9501522	-	2185	1
ENSMUSE00000703062	1	9560832	9631092	-	70261	30
ENSMUSE00000703061	1	9563505	9631175	-	67671	28
ENSMUSE00001332771	1	9639255	9640582	-	1328	3
ENSMUSE00000703041	1	9667415	9700209	-	32795	57
ENSMUSE00000553770	1	9669537	9700024	-	30488	54
ENSMUSE00000863091	1	9676132	9678610	-	2479	4
ENSMUSE00000854215	1	9678272	9683452	-	5181	9
ENSMUSE00000373485	1	9718622	9748382	-	29761	708
ENSMUSE00000398161	1	9802197	9802553	-	357	0
ENSMUSE00000847426	1	9834498	9834602	-	105	0
ENSMUSE00001269731	1	9941959	9944118	-	2160	415
ENSMUSE00001211290	1	9942023	9943223	-	1201	244
ENSMUSE00001225956	1	9942025	9942897	-	873	168
ENSMUSE00001273290	1	9942025	9944117	-	2093	399
ENSMUSE00000946085	1	9942463	9942549	-	87	42
ENSMUSE00001317570	1	9960163	9967932	-	7770	1
ENSMUSE00000630817	1	9960171	9962809	-	2639	0
ENSMUSE00000820108	1	9968624	9985692	-	17069	12
ENSMUSE00001371120	1	9968624	10009136	-	40513	29
ENSMUSE00001225112	1	9968825	10009130	-	40306	29
ENSMUSE00000829416	1	9995063	10009130	-	14068	9
ENSMUSE00001092805	1	10009814	10009917	-	104	0
ENSMUSE00000827356	1	10024601	10038127	-	13527	442
ENSMUSE00001214903	1	10024843	10035128	-	10286	300
ENSMUSE00001321600	1	10027198	10037941	-	10744	380
ENSMUSE00001218429	1	10030687	10038149	-	7463	278
ENSMUSE00001236438	1	10030920	10038168	-	7249	275
ENSMUSE00001336116	1	10037280	10037945	-	666	49
ENSMUSE00001336901	1	10057025	10057944	-	920	1
ENSMUSE00000553482	1	10137571	10232670	-	95100	4916
ENSMUSE00001321552	1	10138690	10141701	-	3012	159
ENSMUSE00000809317	1	10147405	10154530	-	7126	305
ENSMUSE00000752865	1	10156399	10160060	-	3662	212
ENSMUSE00000827254	1	10160757	10161306	-	550	32
ENSMUSE00001343502	1	10197081	10198802	-	1722	117
ENSMUSE00001321068	1	10208946	10210107	-	1162	69
ENSMUSE00001319304	1	10209161	10214213	-	5053	214
ENSMUSE00000411242	1	10324720	10719945	-	395226	206
ENSMUSE00001341523	1	10449245	10451989	-	2745	1
ENSMUSE00000802675	1	10472475	10477823	-	5349	5
ENSMUSE00000711495	1	10554098	10555553	-	1456	0
ENSMUSE00000970315	1	10555554	10555660	-	107	0
ENSMUSE00000780418	1	10595366	10719905	-	124540	58
ENSMUSE00001346299	1	10782456	10784377	-	1922	1
ENSMUSE00000664283	1	11134111	11134238	-	128	0
ENSMUSE00001319129	1	11223566	11224174	-	609	0
ENSMUSE00001343232	1	11363926	11366964	-	3039	4
ENSMUSE00001320137	1	11608139	11608400	-	262	1
ENSMUSE00001318984	1	12670324	12671176	-	853	0
ENSMUSE00001330589	1	12866549	12992650	-	126102	59
ENSMUSE00001327733	1	12866552	12991177	-	124626	59
ENSMUSE00000837368	1	12881330	12925043	-	43714	22
ENSMUSE00001329849	1	12975819	12991177	-	15359	5
ENSMUSE00001344775	1	13059401	13059951	-	551	1
ENSMUSE00000702730	1	13113457	13127163	-	13707	9
ENSMUSE00000458590	1	13139105	13372439	-	233335	9527
ENSMUSE00000386648	1	13139159	13374083	-	234925	9546
ENSMUSE00001326959	1	13145301	13146630	-	1330	60
ENSMUSE00000832566	1	13146599	13148507	-	1909	56
ENSMUSE00000740838	1	13148429	13151018	-	2590	84
ENSMUSE00001341133	1	13177462	13179714	-	2253	41
ENSMUSE00001221147	1	13190106	13299722	-	109617	3764
ENSMUSE00001343194	1	13234809	13236434	-	1626	68
ENSMUSE00001338285	1	13289812	13290506	-	695	28
ENSMUSE00001343404	1	13297036	13298907	-	1872	94
ENSMUSE00000846292	1	13334498	13334609	-	112	12
ENSMUSE00001339750	1	13343563	13348204	-	4642	283
ENSMUSE00001338642	1	13354483	13356730	-	2248	179
ENSMUSE00001320670	1	13407012	13407655	-	644	1
ENSMUSE00001334220	1	13564698	13589910	-	25213	405
ENSMUSE00001325639	1	13576144	13579798	-	3655	56
ENSMUSE00000387757	1	13578118	13589875	-	11758	226
ENSMUSE00000154319	1	13623330	13660546	-	37217	687
ENSMUSE00000783451	1	13629995	13638411	-	8417	106
ENSMUSE00001339140	1	13641483	13642748	-	1266	41
ENSMUSE00000664333	1	13774334	13774464	-	131	0
ENSMUSE00001100838	1	13785883	13786879	-	997	0
ENSMUSE00001342318	1	13846871	13849119	-	2249	3
ENSMUSE00001337866	1	14109215	14112819	-	3605	0
ENSMUSE00001287047	1	14168954	14310200	-	141247	67
ENSMUSE00000911018	1	14168958	14310235	-	141278	67
ENSMUSE00000154295	1	14169666	14310119	-	140454	67
ENSMUSE00000496745	1	14170643	14304570	-	133928	64
ENSMUSE00000488844	1	14207926	14231492	-	23567	10
ENSMUSE00001346020	1	14255552	14255990	-	439	1
ENSMUSE00001320993	1	14301204	14310051	-	8848	7
ENSMUSE00000154271	1	14753346	14755990	-	2645	1
ENSMUSE00001335633	1	14753746	14755353	-	1608	1
ENSMUSE00001328462	1	14753935	14754665	-	731	0
ENSMUSE00001320360	1	14754767	14755992	-	1226	1
ENSMUSE00000713895	1	14839869	14840156	-	288	7
ENSMUSE00000408164	1	14872648	14918862	-	46215	21
ENSMUSE00000324435	1	14873506	14918835	-	45330	21
ENSMUSE00000846669	1	15019040	15019159	-	120	0
ENSMUSE00000630745	1	15268802	15269797	-	996	3
ENSMUSE00000847339	1	15685935	15686046	-	112	0
ENSMUSE00001329503	1	15760122	15760668	-	547	0
ENSMUSE00000355111	1	15853862	15892722	-	38861	22
ENSMUSE00000702624	1	16065979	16081212	-	15234	11
ENSMUSE00001163295	1	16065979	16093325	-	27347	17
ENSMUSE00000604450	1	16101295	16104662	-	3368	555
ENSMUSE00000783152	1	16101295	16102082	-	788	143
ENSMUSE00000398568	1	16101306	16104402	-	3097	553
ENSMUSE00000844926	1	16101528	16102848	-	1321	284
ENSMUSE00001232834	1	16101780	16104227	-	2448	485
ENSMUSE00000839769	1	16102491	16104384	-	1894	390
ENSMUSE00001337908	1	16208197	16210517	-	2321	1
ENSMUSE00001343131	1	16228674	16520080	-	291407	203
ENSMUSE00000861900	1	16228801	16519228	-	290428	203
ENSMUSE00001241858	1	16228810	16520112	-	291303	203
ENSMUSE00000848769	1	16343407	16519211	-	175805	159
ENSMUSE00001246673	1	16344198	16375395	-	31198	17
ENSMUSE00001243063	1	16394143	16519270	-	125128	126
ENSMUSE00001304878	1	16540790	16619312	-	78523	2099
ENSMUSE00001297894	1	16564338	16585398	-	21061	686
ENSMUSE00001300189	1	16569782	16619489	-	49708	1738
ENSMUSE00000757375	1	16584158	16619284	-	35127	1250
ENSMUSE00001330550	1	16641725	16656884	-	15160	588
ENSMUSE00000702579	1	16642767	16657042	-	14276	538
ENSMUSE00000340801	1	16643342	16648039	-	4698	158
ENSMUSE00001320713	1	16646836	16656900	-	10065	420
ENSMUSE00001323302	1	16646955	16656915	-	9961	413
ENSMUSE00000702580	1	16647681	16656878	-	9198	378
ENSMUSE00001335296	1	16647736	16657042	-	9307	376
ENSMUSE00001325368	1	16662980	16663662	-	683	3
ENSMUSE00001330344	1	16758205	16758623	-	419	0
ENSMUSE00000491850	1	16768279	16770138	-	1860	33
ENSMUSE00001328582	1	16964560	17004219	-	39660	12
ENSMUSE00000383734	1	16994938	17097889	-	102952	56
ENSMUSE00001328947	1	17250114	17250492	-	379	0
ENSMUSE00001324699	1	17397412	17400281	-	2870	135
ENSMUSE00001331927	1	17429043	17429528	-	486	1
ENSMUSE00001318813	1	17615084	17641081	-	25998	8
ENSMUSE00000816973	1	17676027	17727284	-	51258	32
ENSMUSE00000819647	1	17692904	17727646	-	34743	19
ENSMUSE00000769172	1	17724984	17727255	-	2272	1
ENSMUSE00001326214	1	17741915	17805417	-	63503	27
ENSMUSE00001334241	1	17993010	17999622	-	6613	5
ENSMUSE00001382966	1	17994462	18059056	-	64595	25
ENSMUSE00001384865	1	17994462	18035002	-	40541	18
ENSMUSE00001326225	1	18005961	18016186	-	10226	4
ENSMUSE00001323316	1	18034818	18058790	-	23973	7
ENSMUSE00001320105	1	18048100	18058269	-	10170	5
ENSMUSE00000821169	1	18115191	18145896	-	30706	11
ENSMUSE00000904993	1	18115191	18145902	-	30712	11
ENSMUSE00001207630	1	18115204	18137051	-	21848	5
ENSMUSE00000774882	1	18210053	18223564	-	13512	8
ENSMUSE00000630718	1	18236473	18237443	-	971	0
ENSMUSE00000552542	1	18250980	18265138	-	14159	47
ENSMUSE00000720131	1	18260524	18265080	-	4557	46
ENSMUSE00001335733	1	18262395	18263379	-	985	41
ENSMUSE00000847310	1	18969762	18969833	-	72	0
ENSMUSE00000870991	1	19063300	19104840	-	41541	23
ENSMUSE00000866580	1	19153422	19153966	-	545	2
ENSMUSE00001331570	1	19320226	19320697	-	472	0
ENSMUSE00000722600	1	19513855	19513919	-	65	0
ENSMUSE00000630649	1	20057779	20618064	-	560286	315
ENSMUSE00001341169	1	20062070	20065548	-	3479	4
ENSMUSE00000729307	1	20374722	20409448	-	34727	21
ENSMUSE00001321074	1	20444258	20444810	-	553	0
ENSMUSE00000582671	1	20444811	20444912	-	102	0
ENSMUSE00001295109	1	20606297	20618040	-	11744	9
ENSMUSE00000552318	1	20777146	20784270	-	7125	6
ENSMUSE00001335576	1	20777679	20779554	-	1876	1
ENSMUSE00000308433	1	20777783	20790617	-	12835	10
ENSMUSE00001325121	1	20787479	20790585	-	3107	2
ENSMUSE00001322025	1	20802968	20820312	-	17345	200
ENSMUSE00000355532	1	20802973	20820260	-	17288	200
ENSMUSE00001318617	1	20803006	20803721	-	716	16
ENSMUSE00001318983	1	20803165	20804933	-	1769	28
ENSMUSE00001331822	1	20804686	20805940	-	1255	24
ENSMUSE00000847368	1	20842535	20842666	-	132	0
ENSMUSE00001112487	1	20888650	20890473	-	1824	3
ENSMUSE00000664279	1	20915410	20915540	-	131	1
ENSMUSE00000350093	1	20996299	21079229	-	82931	291
ENSMUSE00001321555	1	21004313	21043656	-	39344	100
ENSMUSE00001330813	1	21250359	21271593	-	21235	14
ENSMUSE00000630638	1	21285246	21298312	-	13067	8
ENSMUSE00000154316	1	21285608	21298247	-	12640	8
ENSMUSE00000977905	1	21312517	21316320	-	3804	3
ENSMUSE00000464249	1	21398403	21961581	-	563179	45855
ENSMUSE00001256878	1	21398408	21961942	-	563535	45857
ENSMUSE00001345689	1	21454691	21457017	-	2327	68
ENSMUSE00001244113	1	21466245	21961665	-	495421	44843
ENSMUSE00000716105	1	21511933	21513056	-	1124	66
ENSMUSE00001297040	1	21577644	21855902	-	278259	23591
ENSMUSE00001345361	1	21838948	21840514	-	1567	267
ENSMUSE00001326316	1	22030064	22030615	-	552	0
ENSMUSE00000551967	1	22286251	22805724	-	519474	218
ENSMUSE00000630608	1	22286915	22315805	-	28891	16
ENSMUSE00001333544	1	22288422	22432843	-	144422	67
ENSMUSE00000552004	1	22468191	22805724	-	337534	150
ENSMUSE00000304588	1	22533955	22805994	-	272040	120
ENSMUSE00001322006	1	22984863	22987125	-	2263	1
ENSMUSE00001324369	1	23048295	23235673	-	187379	84
ENSMUSE00000494133	1	23100473	23102253	-	1781	1
ENSMUSE00001336944	1	23255685	23256407	-	723	0
ENSMUSE00001337773	1	23255987	23256406	-	420	0
ENSMUSE00001333376	1	23345956	23346599	-	644	2
ENSMUSE00000702281	1	23366424	23383175	-	16752	35
ENSMUSE00001322127	1	23369724	23380801	-	11078	27
ENSMUSE00001329918	1	23370268	23397541	-	27274	29
ENSMUSE00001333872	1	23391749	23397772	-	6024	2
ENSMUSE00000836051	1	23844846	23909736	-	64891	814
ENSMUSE00000351902	1	23845625	23922317	-	76693	1016
ENSMUSE00000824133	1	23846178	23847777	-	1600	58
ENSMUSE00001310609	1	23846296	23909703	-	63408	771
ENSMUSE00001309695	1	23848280	23869974	-	21695	304
ENSMUSE00001220650	1	23848795	23891994	-	43200	491
ENSMUSE00001290400	1	23995939	24005656	-	9718	23
ENSMUSE00001233074	1	24002966	24005630	-	2665	9
ENSMUSE00001331053	1	24011093	24026759	-	15667	11
ENSMUSE00001332705	1	24011093	24086526	-	75434	32
ENSMUSE00000156356	1	24011245	24100333	-	89089	39
ENSMUSE00001334449	1	24011604	24029086	-	17483	14
ENSMUSE00001081342	1	24028722	24100216	-	71495	25
ENSMUSE00000482374	1	24051764	24100341	-	48578	19
ENSMUSE00000789808	1	24261890	24452745	-	190856	70
ENSMUSE00000702181	1	24263994	24587472	-	323479	129
ENSMUSE00000303026	1	24279770	24587411	-	307642	123
ENSMUSE00000664428	1	24548841	24548977	-	137	0
ENSMUSE00001327469	1	24594087	24595423	-	1337	6
ENSMUSE00001319942	1	24611535	24612410	-	876	236
ENSMUSE00000551564	1	24612407	24612700	-	294	77
ENSMUSE00001320055	1	24612775	24613119	-	345	35
ENSMUSE00001334203	1	24613189	24613971	-	783	342
ENSMUSE00001328644	1	24613974	24614651	-	678	375
ENSMUSE00001326674	1	24614885	24615565	-	681	322
ENSMUSE00001333174	1	24615706	24616197	-	492	242
ENSMUSE00001330368	1	24910461	24911659	-	1199	2
ENSMUSE00001331058	1	24963209	24964976	-	1768	1
ENSMUSE00001321331	1	24963996	24965158	-	1163	0
ENSMUSE00001332926	1	25026581	25027232	-	652	0
ENSMUSE00000821277	1	25067476	25228826	-	161351	59
ENSMUSE00001297684	1	25067550	25829707	-	762158	321
ENSMUSE00000731131	1	25067691	25229100	-	161410	59
ENSMUSE00001277010	1	25091454	25229046	-	137593	53
ENSMUSE00000735893	1	25131252	25204723	-	73472	32
ENSMUSE00001326307	1	25203443	25205696	-	2254	0
ENSMUSE00001267744	1	25218035	25228827	-	10793	2
ENSMUSE00001343620	1	25276404	25277954	-	1551	0
ENSMUSE00001003419	1	25279445	25279551	-	107	0
ENSMUSE00001337217	1	25284218	25285248	-	1031	0
ENSMUSE00001336614	1	25296512	25299886	-	3375	1
ENSMUSE00001336458	1	25314276	25317708	-	3433	2
ENSMUSE00001346345	1	25325866	25328398	-	2533	1
ENSMUSE00001344287	1	25345978	25349082	-	3105	1
ENSMUSE00001345847	1	25362564	25365820	-	3257	1
ENSMUSE00001329532	1	25483911	25826347	-	342437	159
ENSMUSE00001339117	1	25608250	25611184	-	2935	0
ENSMUSE00001334105	1	25614946	25615515	-	570	0
ENSMUSE00001345797	1	25620238	25623180	-	2943	2
ENSMUSE00001339807	1	25672245	25676239	-	3995	2
ENSMUSE00001341624	1	25686062	25691501	-	5440	2
ENSMUSE00001346146	1	25722038	25724778	-	2741	0
ENSMUSE00001342109	1	25735389	25738969	-	3581	3
ENSMUSE00001343221	1	25755343	25759033	-	3691	3
ENSMUSE00001342201	1	25775757	25780306	-	4550	4
ENSMUSE00001343618	1	25797281	25800905	-	3625	1
ENSMUSE00001341986	1	25804097	25807406	-	3310	2
ENSMUSE00001340360	1	25808956	25809972	-	1017	0
ENSMUSE00001344473	1	25824390	25824719	-	330	1
ENSMUSE00001327923	1	25996604	25997159	-	556	0
ENSMUSE00000630502	1	26681814	26687460	-	5647	9
ENSMUSE00001022433	1	26959103	26959221	-	119	0
ENSMUSE00001325602	1	27336352	27336768	-	417	1
ENSMUSE00001332568	1	27900419	27901072	-	654	3
ENSMUSE00000772203	1	28580499	28580772	-	274	1
ENSMUSE00000630494	1	28776117	28780252	-	4136	4
ENSMUSE00000712064	1	28800240	28802721	-	2482	16
ENSMUSE00000521657	1	29280964	29281075	-	112	0
ENSMUSE00000707643	1	29361275	29361370	-	96	0
ENSMUSE00001322059	1	29484604	29485915	-	1312	59
ENSMUSE00001316666	1	30333291	30333397	-	107	0
ENSMUSE00000444744	1	30718560	30719962	-	1403	1
ENSMUSE00001320074	1	30794548	30794875	-	328	0
ENSMUSE00001319806	1	30802339	30873581	-	71243	2131
ENSMUSE00000630484	1	30802342	30863256	-	60915	1776
ENSMUSE00001070863	1	30803546	30810712	-	7167	274
ENSMUSE00001326512	1	30806205	30809105	-	2901	49
ENSMUSE00001330817	1	30811904	30813535	-	1632	88
ENSMUSE00001329773	1	30813571	30873695	-	60125	1716
ENSMUSE00001328041	1	30815315	30873921	-	58607	1663
ENSMUSE00001323480	1	30820226	30873894	-	53669	1579
ENSMUSE00001332277	1	30821058	30823843	-	2786	80
ENSMUSE00001318427	1	30824416	30863070	-	38655	1103
ENSMUSE00001335554	1	30829431	30830743	-	1313	118
ENSMUSE00001346257	1	30833548	30836431	-	2884	70
ENSMUSE00001323453	1	30863070	30873252	-	10183	376
ENSMUSE00001341042	1	30865504	30868538	-	3035	100
ENSMUSE00001331304	1	30872652	30873475	-	824	28
ENSMUSE00000359965	1	30940302	30949770	-	9469	330
ENSMUSE00000780903	1	30940302	30949309	-	9008	328
ENSMUSE00001358694	1	30940303	30949755	-	9453	330
ENSMUSE00001448561	1	30941580	30949757	-	8178	312
ENSMUSE00000737646	1	30941947	30946426	-	4480	189
ENSMUSE00000726613	1	30943221	30944304	-	1084	61
ENSMUSE00000999227	1	30977243	30977968	-	726	0
ENSMUSE00000839243	1	30986225	30986953	-	729	0
ENSMUSE00001448584	1	30997842	31222617	-	224776	113
ENSMUSE00000827364	1	30997867	31222684	-	224818	113
ENSMUSE00001448999	1	30997867	30999904	-	2038	2
ENSMUSE00001325020	1	31019188	31096454	-	77267	42
ENSMUSE00001314055	1	31122725	31122862	-	138	0
ENSMUSE00000664629	1	31259593	31259719	-	127	0
ENSMUSE00000847130	1	31656632	31656738	-	107	0
ENSMUSE00000521912	1	32213133	32213239	-	107	0
ENSMUSE00001345701	1	32519563	32520999	-	1437	4
ENSMUSE00000887959	1	32543686	32547294	-	3609	0
ENSMUSE00000847999	1	32568359	32568421	-	63	0
ENSMUSE00001337135	1	32967484	32972490	-	5007	3
ENSMUSE00001327387	1	33028160	33030290	-	2131	1
ENSMUSE00001323255	1	33108905	33109655	-	751	4
ENSMUSE00001344547	1	33212774	33215475	-	2702	2
ENSMUSE00001334453	1	33315670	33316582	-	913	0
ENSMUSE00000416694	1	33453810	33669795	-	215986	1433
ENSMUSE00001330186	1	33478942	33622142	-	143201	989
ENSMUSE00001342439	1	33613758	33616832	-	3075	42
ENSMUSE00001329475	1	33620878	33623324	-	2447	31
ENSMUSE00001343766	1	33671915	33674228	-	2314	3
ENSMUSE00000404172	1	33745484	33757795	-	12312	145
ENSMUSE00000818026	1	33746739	33748719	-	1981	26
ENSMUSE00001327678	1	33746802	33757741	-	10940	137
ENSMUSE00001330596	1	33756773	33757727	-	955	10
ENSMUSE00000786650	1	33761545	33814385	-	52841	1914
ENSMUSE00001256141	1	33761545	33814570	-	53026	1914
ENSMUSE00001223586	1	33777543	33805389	-	27847	1265
ENSMUSE00001253843	1	33779056	33783937	-	4882	167
ENSMUSE00001332686	1	33782178	33814211	-	32034	1371
ENSMUSE00000728771	1	33786454	33800767	-	14314	700
ENSMUSE00000842825	1	33813527	33814595	-	1069	36
ENSMUSE00000717309	1	33836124	33838680	-	2557	49
ENSMUSE00000701880	1	33852052	33907791	-	55740	24
ENSMUSE00001341069	1	33852052	33907816	-	55765	24
ENSMUSE00001342889	1	33852052	33907768	-	55717	24
ENSMUSE00001345617	1	33862695	33883480	-	20786	6
ENSMUSE00001278260	1	33863156	33883842	-	20687	6
ENSMUSE00001346339	1	33889490	33891117	-	1628	0
ENSMUSE00001320702	1	33963352	33963685	-	334	0
ENSMUSE00000722438	1	33981410	33981502	-	93	0
ENSMUSE00001122439	1	34165856	34178271	-	12416	9
ENSMUSE00001331198	1	34175031	34178446	-	3416	2
ENSMUSE00001345505	1	34269882	34271128	-	1247	0
ENSMUSE00001340537	1	34329433	34330307	-	875	1
ENSMUSE00001335024	1	34415050	34415878	-	829	1
ENSMUSE00001323086	1	34415763	34417986	-	2224	3
ENSMUSE00001337273	1	34427002	34433264	-	6263	55
ENSMUSE00000945759	1	34433121	34433199	-	79	0
ENSMUSE00000311840	1	34436670	34439672	-	3003	106
ENSMUSE00001325065	1	34436678	34438696	-	2019	92
ENSMUSE00001322826	1	34439511	34444730	-	5220	8
ENSMUSE00001334567	1	34468834	34470434	-	1601	7
ENSMUSE00001333798	1	34470155	34473148	-	2994	24
ENSMUSE00001320881	1	34471509	34473112	-	1604	18
ENSMUSE00001335071	1	34477167	34485611	-	8445	12
ENSMUSE00001324410	1	34480982	34485933	-	4952	12
ENSMUSE00001325171	1	34523716	34524007	-	292	0
ENSMUSE00001319234	1	34538086	34538560	-	475	0
ENSMUSE00000796339	1	34543968	34560943	-	16976	9
ENSMUSE00001327449	1	34552334	34558111	-	5778	4
ENSMUSE00001334889	1	34552334	34560920	-	8587	4
ENSMUSE00001322957	1	34579202	34579711	-	510	0
ENSMUSE00000406433	1	34579224	34579613	-	390	0
ENSMUSE00001321048	1	34607297	34607719	-	423	0
ENSMUSE00001344241	1	34610572	34610806	-	235	0
ENSMUSE00001337347	1	34610908	34612303	-	1396	0
ENSMUSE00001339107	1	34635544	34636189	-	646	1
ENSMUSE00001341767	1	34809360	34811908	-	2549	76
ENSMUSE00001207540	1	34813219	34843050	-	29832	1629
ENSMUSE00000461733	1	34813226	34843065	-	29840	1628
ENSMUSE00001332841	1	34819612	34843013	-	23402	1074
ENSMUSE00001338209	1	34969627	34969855	-	229	5
ENSMUSE00000664196	1	35178956	35179084	-	129	0
ENSMUSE00001346045	1	35625606	35651297	-	25692	12
ENSMUSE00001340332	1	35981960	35986373	-	4414	1
ENSMUSE00001337769	1	36002985	36011044	-	8060	3
ENSMUSE00001343310	1	36003068	36010990	-	7923	3
ENSMUSE00001340299	1	36029647	36031018	-	1372	2
ENSMUSE00001345086	1	36105384	36106446	-	1063	0
ENSMUSE00000338358	1	36140027	36244305	-	104279	2710
ENSMUSE00000937881	1	36143482	36165811	-	22330	659
