seqnames,start,end,width,strand,Conc,Conc_STAT5B_noIL2,Conc_STAT5B_IL2,Fold
4,118547771,118548397,627,*,6.95,7.8,4.61,3.19
13,74528600,74529114,515,*,6.67,7.56,3.95,3.61
GL456390.1,19418,19659,242,*,6.35,7.27,3.17,4.1
MT,158,401,244,*,6.5,7.39,3.65,3.75
4,153152974,153153266,293,*,6.16,7.1,2.61,4.49
GL456396.1,11856,12156,301,*,6.53,7.42,3.78,3.65
18,48010325,48010593,269,*,6.4,7.3,3.47,3.83
2,57629409,57629804,396,*,6.82,7.66,4.54,3.12
MT,12657,12809,153,*,6.41,7.3,3.54,3.76
GL456370.1,26282,26636,355,*,5.96,6.91,2.13,4.78
13,74529946,74530201,256,*,6.22,7.14,3.08,4.06
17,67741282,67741613,332,*,5.77,6.73,1.39,5.34
1,123318809,123319054,246,*,5.66,6.64,0.81,5.83
14,8286560,8286932,373,*,6.3,7.21,3.39,3.82
Y,4036534,4036820,287,*,6.42,7.3,3.71,3.59
13,119598369,119598642,274,*,6.49,7.36,3.92,3.44
17,13550692,13551386,695,*,6.23,7.14,3.22,3.92
15,9015783,9016322,540,*,5.97,6.91,2.39,4.52
3,21698353,21698620,268,*,6.32,7.21,3.54,3.66
9,115350741,115351006,266,*,6.35,7.24,3.65,3.59
6,56233566,56233837,272,*,6.32,7.21,3.58,3.63
10,3111562,3111759,198,*,6.43,7.3,3.89,3.41
8,129301027,129301304,278,*,6.4,7.27,3.81,3.47
12,105524651,105524919,269,*,6.28,7.17,3.51,3.67
9,124257018,124257326,309,*,6.21,7.1,3.43,3.67
16,5709086,5709333,248,*,5.84,6.78,2.31,4.47
GL456392.1,645,911,267,*,6.13,7.03,3.26,3.76
13,116192805,116193080,276,*,6.13,7.03,3.31,3.72
1,24612392,24612557,166,*,6.22,7.1,3.58,3.52
2,22589471,22589808,338,*,5.81,6.73,2.47,4.27
14,106331388,106331624,237,*,5.39,6.36,0.81,5.56
9,95425836,95426116,281,*,6.2,7.06,3.68,3.38
18,42913840,42914098,259,*,6.06,6.95,3.35,3.6
17,13589909,13590122,214,*,5.71,6.64,2.39,4.25
9,27213080,27213358,279,*,5.47,6.42,1.54,4.88
17,53152453,53152724,272,*,6.03,6.91,3.35,3.56
10,29970869,29971129,261,*,5.77,6.69,2.68,4.01
6,104257002,104257240,239,*,5.12,6.1,-0.19,6.3
18,3005187,3005582,396,*,5.84,6.73,2.98,3.76
13,53269816,53270084,269,*,5.89,6.78,3.13,3.65
4,118547121,118547449,329,*,5.99,6.87,3.43,3.44
18,3004774,3004971,198,*,5.84,6.73,3.03,3.71
16,93789105,93789378,274,*,5.67,6.59,2.54,4.04
17,13590437,13590707,271,*,5.79,6.69,2.92,3.77
10,22448302,22448528,227,*,4.87,5.87,-1.78,7.65
17,4626148,4626640,493,*,6.88,7.61,5.31,2.3
3,128209947,128210211,265,*,5.62,6.53,2.47,4.07
13,119600293,119600470,178,*,5.56,6.48,2.31,4.17
2,22589204,22589384,181,*,5.62,6.53,2.54,3.99
18,7033631,7033892,262,*,5.8,6.69,3.08,3.61
13,74529223,74529397,175,*,5.69,6.59,2.81,3.78
4,80002803,80003056,254,*,5.14,6.1,0.81,5.3
5,110074392,110074649,258,*,5.86,6.73,3.26,3.47
GL456216.1,49055,49457,403,*,5.43,6.36,2.03,4.34
14,90911097,90911366,270,*,5.75,6.64,3.03,3.61
GL456383.1,27353,27716,364,*,5.81,6.69,3.22,3.47
11,3100358,3100602,245,*,4.98,5.95,0.22,5.73
GL456390.1,23965,24230,266,*,5.82,6.69,3.31,3.38
16,10974990,10975263,274,*,5.58,6.48,2.68,3.8
X,169986140,169986305,166,*,5.15,6.1,1.22,4.88
GL456393.1,49,303,255,*,5.64,6.53,2.86,3.67
5,124710088,124710432,345,*,4.79,5.78,-0.78,6.56
13,74529555,74529781,227,*,5.45,6.36,2.39,3.97
1,192453953,192454217,265,*,5.77,6.64,3.26,3.37
1,71079252,71079503,252,*,5.52,6.42,2.61,3.81
2,22588866,22589028,163,*,5.31,6.24,2.03,4.21
GL456390.1,10373,10598,226,*,5.31,6.24,2.03,4.21
5,80500794,80501055,262,*,5.72,6.59,3.17,3.41
JH584304.1,60658,60812,155,*,5.24,6.17,1.81,4.37
5,146666547,146666793,247,*,5.16,6.1,1.54,4.56
GL456383.1,34366,34620,255,*,5.66,6.53,3.08,3.46
16,10886395,10886658,264,*,4.6,5.59,-1.78,7.37
16,16947285,16947452,168,*,4.6,5.59,-1.78,7.37
3,149052483,149052955,473,*,4.6,5.59,-1.78,7.37
11,89081719,89082042,324,*,5.08,6.03,1.39,4.64
8,35134809,35135071,263,*,5.08,6.03,1.39,4.64
GL456393.1,2052,2208,157,*,5.33,6.24,2.22,4.02
14,112518801,112519053,253,*,5.09,6.03,1.54,4.48
17,31570339,31570590,252,*,5.55,6.42,2.92,3.5
JH584300.1,1299,1538,240,*,4.71,5.69,-0.19,5.88
3,56575391,56575803,413,*,5.61,6.48,3.13,3.35
Y,8088701,8088932,232,*,4.6,5.59,-0.78,6.37
8,30187510,30187771,262,*,4.82,5.78,0.54,5.24
16,94924250,94924465,216,*,4.49,5.48,-1.78,7.26
1,193227725,193227997,273,*,5.49,6.36,2.86,3.5
15,21656487,21656653,167,*,5.42,6.3,2.68,3.62
16,3116509,3116688,180,*,5.42,6.3,2.68,3.62
4,3090670,3091140,471,*,5.56,6.42,3.08,3.34
X,170673214,170673552,339,*,5.35,6.24,2.61,3.63
5,106176692,106176948,257,*,5.5,6.36,3.03,3.34
11,87389342,87389497,156,*,5.2,6.1,2.22,3.88
9,47958252,47958497,246,*,5.2,6.1,2.22,3.88
2,48906804,48907074,271,*,4.5,5.48,-0.78,6.26
8,123961456,123961653,198,*,4.5,5.48,-0.78,6.26
4,31354097,31354357,261,*,5.28,6.17,2.47,3.7
5,93289549,93289803,255,*,5.28,6.17,2.47,3.7
5,60042854,60043064,211,*,4.37,5.36,-1.78,7.14
GL456383.1,34895,35074,180,*,4.37,5.36,-1.78,7.14
GL456370.1,3897,4052,156,*,5.2,6.1,2.31,3.79
10,129735376,129735628,253,*,4.62,5.59,0.22,5.37
6,149586357,149586622,266,*,4.94,5.87,1.54,4.32
12,102892871,102893114,244,*,5.12,6.03,2.13,3.9
13,110602955,110603207,253,*,5.12,6.03,2.13,3.9
3,60045601,60045847,247,*,4.73,5.69,0.81,4.88
12,10693798,10693959,162,*,5.29,6.17,2.61,3.56
GL456390.1,5646,5854,209,*,5.13,6.03,2.22,3.81
18,56303430,56303585,156,*,4.94,5.87,1.68,4.19
6,4923738,4923990,253,*,4.63,5.59,0.54,5.04
4,99381459,99381627,169,*,4.74,5.69,1.03,4.66
11,44462659,44462806,148,*,4.25,5.24,-1.78,7.02
9,123924374,123924652,279,*,5.46,6.3,3.17,3.13
2,92093577,92093864,288,*,5.14,6.03,2.39,3.64
14,7871079,7871509,431,*,5.23,6.1,2.68,3.42
10,37820366,37820612,247,*,4.39,5.36,-0.19,5.56
12,41515019,41515283,265,*,5.24,6.1,2.74,3.36
3,87425033,87425298,266,*,4.76,5.69,1.39,4.3
19,58113452,58113645,194,*,4.65,5.59,1.03,4.56
11,18332104,18332297,194,*,4.26,5.24,-0.78,6.02
10,94592345,94592600,256,*,5.16,6.03,2.61,3.41
14,8006030,8006290,261,*,4.77,5.69,1.54,4.14
2,5010032,5010179,148,*,4.11,5.1,-1.78,6.88
3,128936639,128936877,239,*,4.11,5.1,-1.78,6.88
4,93844317,93844592,276,*,5.41,6.24,3.22,3.02
16,34742908,34743151,244,*,4.66,5.59,1.22,4.37
16,3349882,3350071,190,*,5.33,6.17,3.08,3.09
3,99981148,99981423,276,*,4.54,5.48,0.81,4.67
6,48121138,48121455,318,*,4.98,5.87,2.22,3.65
17,13586341,13586533,193,*,5.17,6.03,2.74,3.28
17,13587490,13587637,148,*,4.98,5.87,2.31,3.56
10,94872051,94872312,262,*,4.66,5.59,1.39,4.2
10,102668540,102668796,257,*,4.27,5.24,-0.19,5.43
4,20191810,20191997,188,*,4.27,5.24,-0.19,5.43
4,156356792,156356954,163,*,4.54,5.48,1.03,4.45
Y,57548514,57548663,150,*,4.41,5.36,0.54,4.82
1,181743097,181743500,404,*,5.26,6.1,3.03,3.07
18,65103928,65104180,253,*,4.99,5.87,2.39,3.48
CHR_MG4249_PATCH,6689409,6689967,559,*,4.99,5.87,2.39,3.48
9,19400669,19400885,217,*,4.13,5.1,-0.78,5.88
6,10186299,10186548,250,*,5.27,6.1,3.08,3.02
10,52144381,52144627,247,*,4.79,5.69,1.92,3.77
2,41896111,41896366,256,*,4.79,5.69,1.92,3.77
4,90726453,90726699,247,*,4.79,5.69,1.92,3.77
16,30829447,30829700,254,*,4.9,5.78,2.22,3.56
GL456396.1,20854,21111,258,*,4.9,5.78,2.22,3.56
17,82988888,82989035,148,*,4.55,5.48,1.22,4.26
3,101948571,101948718,148,*,3.96,4.95,-1.78,6.73
4,25472182,25472433,252,*,3.96,4.95,-1.78,6.73
15,5994369,5994517,149,*,4.42,5.36,0.81,4.56
15,91722472,91722619,148,*,4.42,5.36,0.81,4.56
17,56199912,56200180,269,*,5.79,6.53,4.15,2.38
12,92394167,92394325,159,*,4.68,5.59,1.68,3.91
2,181918599,181918822,224,*,4.68,5.59,1.68,3.91
9,19575340,19575602,263,*,5.44,6.24,3.51,2.73
14,69162297,69162534,238,*,4.9,5.78,2.31,3.47
12,15253562,15253717,156,*,4.8,5.69,2.03,3.66
14,12537591,12537844,254,*,4.91,5.78,2.39,3.39
3,122805163,122805310,148,*,4.14,5.1,-0.19,5.3
4,144048453,144048600,148,*,4.14,5.1,-0.19,5.3
GL456396.1,6633,6782,150,*,4.8,5.69,2.13,3.56
16,63312494,63312743,250,*,4.43,5.36,1.03,4.34
7,94847479,94847626,148,*,4.43,5.36,1.03,4.34
2,60402666,60402931,266,*,5.6,6.36,3.86,2.5
1,78574221,78574688,468,*,5.37,6.17,3.43,2.74
11,38214141,38214288,148,*,4.29,5.24,0.54,4.7
14,108976264,108976411,148,*,4.29,5.24,0.54,4.7
8,39155379,39155691,313,*,4.7,5.59,1.92,3.67
13,60676499,60676767,269,*,3.98,4.95,-0.78,5.73
2,70781876,70782023,148,*,3.98,4.95,-0.78,5.73
14,119286852,119287101,250,*,4.44,5.36,1.22,4.14
2,110293528,110293781,254,*,4.44,5.36,1.22,4.14
3,122805519,122805793,275,*,4.44,5.36,1.22,4.14
GL456383.1,11218,11556,339,*,5.21,6.03,3.17,2.85
15,91720997,91721144,148,*,4.3,5.24,0.81,4.43
13,85127133,85127383,251,*,4.58,5.48,1.68,3.8
6,121224764,121225072,309,*,4.58,5.48,1.68,3.8
1,49859615,49859762,148,*,4.15,5.1,0.22,4.88
14,47629367,47629605,239,*,4.7,5.59,2.03,3.56
8,125778990,125779241,252,*,4.7,5.59,2.03,3.56
15,63626807,63627049,243,*,3.79,4.78,-1.78,6.56
2,42200423,42200570,148,*,3.79,4.78,-1.78,6.56
4,142558233,142558380,148,*,3.79,4.78,-1.78,6.56
9,88553146,88553398,253,*,5.13,5.95,3.08,2.87
15,85542079,85542320,242,*,4.16,5.1,0.54,4.56
14,74065840,74066114,275,*,4.6,5.48,1.92,3.56
8,73319571,73319827,257,*,4.6,5.48,1.92,3.56
12,69159208,69159459,252,*,5.06,5.87,3.03,2.84
12,75242571,75242722,152,*,4.61,5.48,2.03,3.45
GL456393.1,7438,7586,149,*,4.61,5.48,2.03,3.45
6,47778030,47778240,211,*,3.81,4.78,-0.78,5.56
7,86806491,86806739,249,*,4.17,5.1,0.81,4.3
7,128699972,128700119,148,*,4.17,5.1,0.81,4.3
2,46225644,46225894,251,*,4.61,5.48,2.13,3.35
12,25337428,25337612,185,*,3.6,4.59,-1.78,6.37
5,124709889,124710036,148,*,3.6,4.59,-1.78,6.37
5,147611387,147611639,253,*,3.6,4.59,-1.78,6.37
1,12644676,12644943,268,*,5.59,6.3,4.13,2.18
2,19509232,19509485,254,*,4.62,5.48,2.22,3.26
5,3460826,3461343,518,*,5.11,1.78,6.03,-4.25
GL456396.1,9787,10018,232,*,4.87,5.69,2.81,2.88
14,58658618,58658865,248,*,3.82,4.78,-0.19,4.97
5,46435679,46435931,253,*,4.36,5.24,1.68,3.56
GL456390.1,6939,7170,232,*,4.36,5.24,1.68,3.56
GL456383.1,14884,15107,224,*,4.64,5.48,2.39,3.09
1,44951123,44951384,262,*,5.29,6.03,3.68,2.35
3,100316363,100316611,249,*,4.03,4.95,0.81,4.14
GL456390.1,19048,19195,148,*,4.03,4.95,0.81,4.14
3,6116005,6116168,164,*,3.62,4.59,-0.78,5.37
8,114436880,114437122,243,*,3.84,4.78,0.22,4.56
6,145266566,145266726,161,*,4.21,5.1,1.39,3.71
3,8245233,8245511,279,*,4.65,5.48,2.47,3.01
GL456383.1,31818,32044,227,*,4.78,5.59,2.74,2.84
19,23357336,23357603,268,*,4.66,5.48,2.54,2.94
3,26752917,26753064,148,*,4.04,4.95,1.03,3.92
1,157599395,157599552,158,*,4.38,5.24,1.92,3.32
1,187069121,187069270,150,*,4.38,5.24,1.92,3.32
14,107075208,107075458,251,*,5.01,5.78,3.26,2.51
X,59446399,59446546,148,*,3.38,4.36,-1.78,6.14
1,41917952,41918111,160,*,4.22,5.1,1.54,3.56
12,69361330,69361562,233,*,4.53,5.36,2.31,3.06
GL456393.1,9759,10014,256,*,4.67,5.48,2.61,2.87
1,19176186,19176432,247,*,3.85,4.78,0.54,4.24
2,144976109,144976260,152,*,4.39,5.24,2.03,3.21
9,90302225,90302472,248,*,3.64,4.59,-0.19,4.78
4,156357113,156357347,235,*,4.23,5.1,1.68,3.42
GL456389.1,2568,2730,163,*,4.23,5.1,1.68,3.42
13,13981922,13982163,242,*,4.55,5.36,2.47,2.9
3,23843094,23843305,212,*,4.24,5.1,1.81,3.3
17,3029830,3029977,148,*,4.07,4.95,1.39,3.56
16,86820808,86821126,319,*,4.25,5.1,1.92,3.18
10,22142287,22142530,244,*,4.08,4.95,1.54,3.41
2,124003594,124003744,151,*,4.08,4.95,1.54,3.41
9,103028755,103028903,149,*,4.08,4.95,1.54,3.41
1,44201170,44201415,246,*,3.88,4.78,1.03,3.75
10,61373941,61374182,242,*,4.26,5.1,2.03,3.07
GL456370.1,18752,19176,425,*,4.57,5.36,2.68,2.68
12,25593636,25593783,148,*,3.13,4.1,-1.78,5.88
12,93576939,93577235,297,*,3.13,4.1,-1.78,5.88
8,71433005,71433255,251,*,3.13,4.1,-1.78,5.88
3,63516515,63516685,171,*,4.09,4.95,1.68,3.27
GL456393.1,1421,1728,308,*,4.09,4.95,1.68,3.27
5,3477801,3478411,611,*,4.7,1.78,5.6,-3.82
5,146379562,146379709,148,*,3.9,4.78,1.22,3.56
3,145690934,145691176,243,*,4.27,5.1,2.13,2.97
1,182629755,182629999,245,*,3.42,4.36,-0.19,4.56
1,95451900,95452049,150,*,3.91,4.78,1.39,3.39
GL456392.1,1459,1706,248,*,3.69,4.59,0.81,3.78
4,102711676,102712115,440,*,4.6,1.78,5.5,-3.72
18,14738836,14739030,195,*,4.3,5.1,2.31,2.79
GL456383.1,18436,18586,151,*,4.3,5.1,2.31,2.79
15,47233328,47233477,150,*,3.92,4.78,1.54,3.24
6,68011837,68012086,250,*,3.7,4.59,1.03,3.56
11,117321626,117322207,582,*,4.51,1.78,5.4,-3.62
16,50414503,50414746,244,*,3.94,4.78,1.68,3.1
1,179492865,179493505,641,*,4.5,1.78,5.39,-3.61
6,125876816,125877066,251,*,4.63,5.36,3.08,2.29
JH584304.1,55767,55947,181,*,5.01,5.69,3.71,1.97
X,145514931,145515078,148,*,3.72,4.59,1.22,3.37
17,94887081,94887350,270,*,3.46,4.36,0.54,3.82
17,35205189,35205660,472,*,5.28,3.78,6,-2.22
2,51751774,51752016,243,*,3.95,4.78,1.81,2.97
GL456393.1,5139,5331,193,*,3.95,4.78,1.81,2.97
1,106606918,106607345,428,*,4.44,1.78,5.32,-3.54
15,6316808,6317050,243,*,2.81,3.78,-1.78,5.56
17,93046346,93046497,152,*,2.81,3.78,-1.78,5.56
6,9889876,9890140,265,*,2.81,3.78,-1.78,5.56
18,55939375,55939713,339,*,3.17,4.1,-0.19,4.3
6,4924043,4924286,244,*,3.17,4.1,-0.19,4.3
4,18548254,18548404,151,*,3.74,4.59,1.39,3.2
18,3006327,3006487,161,*,4.16,4.95,2.31,2.64
7,34958082,34958325,244,*,3.48,4.36,0.81,3.56
2,155038236,155038640,405,*,4.38,1.78,5.25,-3.47
10,28567111,28567764,654,*,4.34,1.78,5.21,-3.43
15,9529560,9529944,385,*,4.32,1.78,5.19,-3.41
11,110422173,110422410,238,*,3.2,4.1,0.22,3.88
16,3116180,3116378,199,*,3.2,4.1,0.22,3.88
16,3350170,3350452,283,*,3.2,4.1,0.22,3.88
14,95614515,95614696,182,*,3.77,4.59,1.68,2.91
Y,20663698,20663947,250,*,4.2,4.95,2.54,2.41
2,16682984,16683237,254,*,4.38,5.1,2.86,2.24
6,97352798,97353161,364,*,4.26,1.78,5.13,-3.35
5,114173004,114173265,262,*,4.83,5.48,3.61,1.87
1,33528167,33528314,148,*,3.52,4.36,1.22,3.14
14,19252135,19252282,148,*,3.52,4.36,1.22,3.14
4,29620242,29620389,148,*,3.52,4.36,1.22,3.14
X,7570783,7571213,431,*,4.23,1.78,5.09,-3.31
13,5666247,5667083,837,*,4.22,1.78,5.08,-3.3
10,72293270,72293512,243,*,3.22,4.1,0.54,3.56
15,9870101,9870722,622,*,4.18,1.78,5.04,-3.26
18,79297630,79298060,431,*,4.18,1.78,5.04,-3.26
CHR_MG171_PATCH,131519633,131519882,250,*,3.8,4.59,1.92,2.67
GL456390.1,4367,4535,169,*,3.8,4.59,1.92,2.67
3,137820775,137821391,617,*,4.17,1.78,5.03,-3.25
10,70222317,70222526,210,*,3.54,4.36,1.39,2.97
15,61408347,61409007,661,*,4.57,2.78,5.34,-2.56
6,31132192,31132702,511,*,4.16,1.78,5.01,-3.24
9,35123807,35124274,468,*,4.14,1.78,4.99,-3.21
2,58187675,58188092,418,*,4.12,1.78,4.98,-3.2
3,8245932,8246088,157,*,3.24,4.1,0.81,3.3
5,60848119,60848270,152,*,3.24,4.1,0.81,3.3
2,22679984,22680507,524,*,4.11,1.78,4.96,-3.18
3,51745006,51745397,392,*,4.11,1.78,4.96,-3.18
3,90503615,90504233,619,*,4.11,1.78,4.96,-3.18
7,98582694,98583098,405,*,4.11,1.78,4.96,-3.18
8,25625277,25625788,512,*,4.11,1.78,4.96,-3.18
10,114737287,114737537,251,*,3.56,4.36,1.54,2.82
5,119368474,119368720,247,*,3.56,4.36,1.54,2.82
13,13860821,13861078,258,*,2.4,3.36,-1.78,5.14
3,59920051,59920304,254,*,2.4,3.36,-1.78,5.14
13,51776256,51776693,438,*,4.09,1.78,4.93,-3.16
14,56275823,56276481,659,*,4.08,1.78,4.92,-3.14
17,29395449,29395838,390,*,4.08,1.78,4.92,-3.14
2,13559660,13560030,371,*,4.08,1.78,4.92,-3.14
2,152789427,152789862,436,*,4.08,1.78,4.92,-3.14
10,83954478,83954717,240,*,3.83,4.59,2.13,2.46
17,13654625,13654845,221,*,3.83,4.59,2.13,2.46
6,15793309,15793842,534,*,4.06,1.78,4.91,-3.13
GL456392.1,14623,14800,178,*,3.26,4.1,1.03,3.07
16,55582987,55583358,372,*,4.04,1.78,4.88,-3.1
2,126147791,126148038,248,*,3.57,4.36,1.68,2.68
11,25099985,25100236,252,*,4.27,4.95,2.92,2.03
17,29500734,29501079,346,*,4.01,1.78,4.85,-3.07
5,118494765,118495499,735,*,4.01,1.78,4.85,-3.07
6,132463628,132463897,270,*,4.89,5.48,3.89,1.59
9,61722387,61722631,245,*,2.9,3.78,0.22,3.56
10,93227720,93228163,444,*,4,1.78,4.84,-3.06
6,47593624,47593964,341,*,4,1.78,4.84,-3.06
11,62148500,62148903,404,*,3.99,1.78,4.82,-3.04
7,114171401,114172035,635,*,4.42,2.78,5.16,-2.38
1,130879614,130880210,597,*,3.97,1.78,4.81,-3.03
9,107308662,107308995,334,*,3.97,1.78,4.81,-3.03
6,144853536,144853792,257,*,3.86,4.59,2.31,2.28
14,45203551,45203698,148,*,3.29,4.1,1.22,2.88
1,106321352,106321755,404,*,4.4,2.78,5.14,-2.36
10,40529466,40529929,464,*,3.93,1.78,4.76,-2.98
10,111213755,111214476,722,*,4.68,3.36,5.36,-2
4,102989485,102989808,324,*,3.92,1.78,4.74,-2.96
13,42436655,42436898,244,*,2.44,3.36,-0.78,4.14
19,36703454,36703609,156,*,2.92,3.78,0.54,3.24
19,50310529,50310775,247,*,2.92,3.78,0.54,3.24
14,18186962,18187326,365,*,3.89,1.78,4.71,-2.93
4,145254522,145254964,443,*,3.88,1.78,4.7,-2.92
1,78573714,78573960,247,*,3.89,4.59,2.47,2.12
7,109951303,109951806,504,*,4.31,2.78,5.04,-2.26
14,70272235,70272673,439,*,3.85,1.78,4.66,-2.88
18,67724911,67725340,430,*,3.83,1.78,4.65,-2.87
10,95264808,95265322,515,*,4.29,2.78,5.01,-2.24
14,52863938,52864444,507,*,3.82,1.78,4.63,-2.85
6,131377440,131377688,249,*,3.9,4.59,2.54,2.04
7,45623596,45623845,250,*,3.9,4.59,2.54,2.04
18,28602044,28602256,213,*,3.33,4.1,1.54,2.56
8,71780277,71780516,240,*,3.33,4.1,1.54,2.56
17,29499621,29500143,523,*,4.27,2.78,4.99,-2.21
3,106785149,106785552,404,*,3.8,1.78,4.61,-2.83
3,64414334,64414564,231,*,2.95,3.78,0.81,2.97
2,76214969,76215472,504,*,3.79,1.78,4.6,-2.82
1,85937022,85937715,694,*,3.77,1.78,4.58,-2.8
3,97930109,97930425,317,*,3.77,1.78,4.58,-2.8
6,51059908,51060309,402,*,3.77,1.78,4.58,-2.8
1,161779084,161779436,353,*,4.24,2.78,4.95,-2.17
1,51514560,51514953,394,*,3.76,1.78,4.56,-2.78
13,49556940,49557296,357,*,3.76,1.78,4.56,-2.78
