seqnames,start,end,width,strand,annotation,geneChr,geneStart,geneEnd,geneLength,geneStrand,geneId,transcriptId,distanceToTSS,ENSEMBL,SYMBOL,GENENAME
chr1,55442110,55442346,237,*,"Exon (ENSMUST00000193928.1/ENSMUST00000193928.1, exon 1 of 1)",1,55405921,55754285,348365,1,227120,ENSMUST00000042986.9,36189,ENSMUSG00000038349,Plcl1,phospholipase C-like 1
chr1,58301242,58301459,218,*,"Intron (ENSMUST00000114366.2/213043, intron 12 of 35)",1,58278326,58380259,101934,1,213043,ENSMUST00000114366.2,22916,ENSMUSG00000079554,Aox2,aldehyde oxidase 2
chr1,58423898,58424078,181,*,Promoter (<=1kb),1,58410189,58424066,13878,2,12747,ENSMUST00000156931.7,0,ENSMUSG00000026034,Clk1,CDC-like kinase 1
chr1,58651830,58652291,462,*,Promoter (<=1kb),1,58652641,58655831,3191,1,100504501,ENSMUST00000185352.1,-350,ENSMUSG00000102059,Gm20257,caspase 8 pseudogene
chr1,58797444,58797788,345,*,Promoter (1-2kb),1,58795477,58846754,51278,1,12370,ENSMUST00000191201.6,1967,ENSMUSG00000026029,Casp8,caspase 8
chr1,58896018,58896347,330,*,Distal Intergenic,1,58903672,58907212,3541,2,70827,ENSMUST00000172685.1,10865,ENSMUSG00000026028,Trak2,"trafficking protein, kinesin binding 2"
chr1,59608277,59608423,147,*,Promoter (1-2kb),1,59606816,59630303,23488,1,381260,ENSMUST00000185753.6,1461,ENSMUSG00000047361,Gm973,predicted gene 973
chr1,59844807,59845148,342,*,Promoter (5-6kb),1,59850665,59852351,1687,1,12168,ENSMUST00000190659.1,-5517,ENSMUSG00000067336,Bmpr2,"bone morphogenetic protein receptor, type II (serine/threonine kinase)"
chr1,60158593,60159042,450,*,Distal Intergenic,1,60141448,60148027,6580,1,241066,ENSMUST00000132949.2,17145,ENSMUSG00000026017,Carf,calcium response factor
chr1,60880124,60880594,471,*,Promoter (6-7kb),1,60887000,60912716,25717,1,12477,ENSMUST00000124816.1,-6406,ENSMUSG00000026011,Ctla4,cytotoxic T-lymphocyte-associated protein 4
chr1,60888371,60888517,147,*,Promoter (1-2kb),1,60887000,60912716,25717,1,12477,ENSMUST00000124816.1,1371,ENSMUSG00000026011,Ctla4,cytotoxic T-lymphocyte-associated protein 4
chr1,60889071,60889264,194,*,Promoter (2-3kb),1,60887000,60912716,25717,1,12477,ENSMUST00000124816.1,2071,ENSMUSG00000026011,Ctla4,cytotoxic T-lymphocyte-associated protein 4
chr1,60941673,60942027,355,*,Distal Intergenic,1,60909171,60914769,5599,1,12477,ENSMUST00000097720.3,32502,ENSMUSG00000026011,Ctla4,cytotoxic T-lymphocyte-associated protein 4
chr1,60975111,60975469,359,*,Promoter (2-3kb),1,60977927,60995797,17871,1,54167,ENSMUST00000027162.11,-2458,ENSMUSG00000026009,Icos,inducible T cell co-stimulator
chr1,61023057,61023282,226,*,Distal Intergenic,1,60977927,61000320,22394,1,54167,ENSMUST00000102827.3,45130,ENSMUSG00000026009,Icos,inducible T cell co-stimulator
chr1,61046194,61046720,527,*,Distal Intergenic,1,60977927,61000320,22394,1,54167,ENSMUST00000102827.3,68267,ENSMUSG00000026009,Icos,inducible T cell co-stimulator
chr1,61050448,61050852,405,*,Distal Intergenic,1,60977927,61000320,22394,1,54167,ENSMUST00000102827.3,72521,ENSMUSG00000026009,Icos,inducible T cell co-stimulator
chr1,61139723,61139977,255,*,Distal Intergenic,1,60977927,61000320,22394,1,54167,ENSMUST00000102827.3,161796,ENSMUSG00000026009,Icos,inducible T cell co-stimulator
chr1,64000884,64001139,256,*,Distal Intergenic,1,63964727,63968999,4273,1,433315,ENSMUST00000133244.1,36157,ENSMUSG00000044689,Gm13749,predicted gene 13749
chr1,64101367,64101657,291,*,"Intron (ENSMUST00000114086.7/93691, intron 1 of 3)",1,64041926,64121482,79557,2,93691,ENSMUST00000055001.9,19825,ENSMUSG00000025959,Klf7,Kruppel-like factor 7 (ubiquitous)
chr1,69461224,69461515,292,*,Distal Intergenic,1,69538768,69684157,145390,2,22779,ENSMUST00000188110.6,222642,ENSMUSG00000025997,Ikzf2,IKAROS family zinc finger 2
chr1,69544290,69544526,237,*,"Intron (ENSMUST00000187100.1/ENSMUST00000187100.1, intron 3 of 3)",1,69538768,69684157,145390,2,22779,ENSMUST00000188110.6,139631,ENSMUSG00000025997,Ikzf2,IKAROS family zinc finger 2
chr1,69554369,69554740,372,*,"Intron (ENSMUST00000027146.8/22779, intron 5 of 7)",1,69538768,69684157,145390,2,22779,ENSMUST00000188110.6,129417,ENSMUSG00000025997,Ikzf2,IKAROS family zinc finger 2
chr1,69685114,69685410,297,*,Promoter (<=1kb),1,69577890,69685300,107411,2,22779,ENSMUST00000190016.1,0,ENSMUSG00000025997,Ikzf2,IKAROS family zinc finger 2
chr1,73947987,73948303,317,*,Promoter (6-7kb),1,73925130,73941014,15885,2,21961,ENSMUST00000189228.1,-6973,ENSMUSG00000055322,Tns1,tensin 1
chr1,74672713,74672891,179,*,Promoter (6-7kb),1,74678898,74697977,19080,1,67534,ENSMUST00000113678.1,-6007,ENSMUSG00000033257,Ttll4,"tubulin tyrosine ligase-like family, member 4"
chr1,74678539,74678880,342,*,Promoter (<=1kb),1,74678898,74697977,19080,1,67534,ENSMUST00000113678.1,-18,ENSMUSG00000033257,Ttll4,"tubulin tyrosine ligase-like family, member 4"
chr1,80412557,80412716,160,*,Distal Intergenic,1,80445932,80475660,29729,1,72208,ENSMUST00000187497.1,-33216,ENSMUSG00000101483,1700016L21Rik,RIKEN cDNA 1700016L21 gene
chr1,80639781,80639959,179,*,"Intron (ENSMUST00000077946.11/210293, intron 2 of 55)",1,80501713,80665275,163563,2,210293,ENSMUST00000190983.6,25316,ENSMUSG00000038608,Dock10,dedicator of cytokinesis 10
chr1,80643873,80644134,262,*,"Intron (ENSMUST00000077946.11/210293, intron 2 of 55)",1,80501713,80665275,163563,2,210293,ENSMUST00000190983.6,21141,ENSMUSG00000038608,Dock10,dedicator of cytokinesis 10
chr1,80655381,80655616,236,*,Promoter (9-10kb),1,80501713,80665275,163563,2,210293,ENSMUST00000190983.6,9659,ENSMUSG00000038608,Dock10,dedicator of cytokinesis 10
chr1,82832513,82832794,282,*,Promoter (6-7kb),1,82839483,82901182,61700,1,15463,ENSMUST00000189220.6,-6689,ENSMUSG00000026159,Agfg1,ArfGAP with FG repeats 1
chr1,82871879,82872059,181,*,"Intron (ENSMUST00000189220.6/15463, intron 3 of 12)",1,82840073,82880122,40050,1,15463,ENSMUST00000186043.1,31806,ENSMUSG00000026159,Agfg1,ArfGAP with FG repeats 1
chr1,84822540,84822686,147,*,"Exon (ENSMUST00000192396.1/ENSMUST00000192396.1, exon 1 of 1)",1,84794231,84838731,44501,2,14897,ENSMUST00000187818.1,16045,ENSMUSG00000026219,Trip12,thyroid hormone receptor interactor 12
chr1,84823528,84823902,375,*,"Exon (ENSMUST00000192396.1/ENSMUST00000192396.1, exon 1 of 1)",1,84794231,84838731,44501,2,14897,ENSMUST00000187818.1,14829,ENSMUSG00000026219,Trip12,thyroid hormone receptor interactor 12
chr1,85937023,85937715,693,*,Promoter (8-9kb),1,85928727,85940624,11898,1,71141,ENSMUST00000129392.1,8296,ENSMUSG00000026224,4933407L21Rik,RIKEN cDNA 4933407L21 gene
chr1,85962300,85962571,272,*,Promoter (1-2kb),1,85938318,85961007,22690,2,227326,ENSMUST00000086975.5,-1293,ENSMUSG00000049608,Gpr55,G protein-coupled receptor 55
chr1,86006423,86006806,384,*,Distal Intergenic,1,86016816,86024669,7854,1,70060,ENSMUST00000129169.1,-10010,ENSMUSG00000026226,Spata3,spermatogenesis associated 3
chr1,87877863,87878168,306,*,Promoter (2-3kb),1,87880435,87915744,35310,1,227333,ENSMUST00000190243.1,-2267,ENSMUSG00000070738,Dgkd,"diacylglycerol kinase, delta"
chr1,88553631,88554093,463,*,Promoter (2-3kb),1,88551517,88562167,10651,1,100503197,ENSMUST00000189394.1,2114,ENSMUSG00000100798,Gm19589,"predicted gene, 19589"
chr1,88578084,88578260,177,*,Distal Intergenic,1,88551517,88562167,10651,1,100503197,ENSMUST00000189394.1,26567,ENSMUSG00000100798,Gm19589,"predicted gene, 19589"
chr1,88578345,88578646,302,*,Distal Intergenic,1,88551517,88562167,10651,1,100503197,ENSMUST00000189394.1,26828,ENSMUSG00000100798,Gm19589,"predicted gene, 19589"
chr1,88584613,88584788,176,*,Distal Intergenic,1,88551517,88562167,10651,1,100503197,ENSMUST00000189394.1,33096,ENSMUSG00000100798,Gm19589,"predicted gene, 19589"
chr1,88587426,88587695,270,*,Distal Intergenic,1,88551517,88562167,10651,1,100503197,ENSMUST00000189394.1,35909,ENSMUSG00000100798,Gm19589,"predicted gene, 19589"
chr1,88661156,88661480,325,*,Distal Intergenic,1,88698225,88702221,3997,2,320982,ENSMUST00000159814.1,40741,ENSMUSG00000049866,Arl4c,ADP-ribosylation factor-like 4C
chr1,91057767,91057979,213,*,Promoter (4-5kb),1,91053586,91128287,74702,1,16978,ENSMUST00000189617.2,4181,ENSMUSG00000026305,Lrrfip1,leucine rich repeat (in FLII) interacting protein 1
chr1,91293968,91294180,213,*,Promoter (4-5kb),1,91298338,91321075,22738,1,50880,ENSMUST00000027532.12,-4158,ENSMUSG00000026307,Scly,selenocysteine lyase
chr1,92080164,92080429,266,*,"Intron (ENSMUST00000097644.8/208727, intron 2 of 26)",1,92029966,92113331,83366,2,208727,ENSMUST00000185341.6,32902,ENSMUSG00000026313,Hdac4,histone deacetylase 4
chr1,93391638,93392130,493,*,Promoter (9-10kb),1,93401861,93403570,1710,1,404545,ENSMUST00000190340.1,-9731,ENSMUSG00000034107,Ano7,anoctamin 7
chr1,94496982,94497281,300,*,Distal Intergenic,1,94797083,94802452,5370,1,74689,ENSMUST00000190754.1,-299802,ENSMUSG00000100518,4930440C22Rik,RIKEN cDNA 4930440C22 gene
chr1,106321353,106321755,403,*,Promoter (4-5kb),1,106317238,106319015,1778,1,98432,ENSMUST00000124895.1,4115,ENSMUSG00000044340,Phlpp1,PH domain and leucine rich repeat protein phosphatase 1
chr1,106515673,106516008,336,*,Distal Intergenic,1,106546496,106546631,136,2,102466254,ENSMUST00000183743.1,30623,ENSMUSG00000098344,Mir3473f,microRNA 3473f
chr1,106588942,106589124,183,*,"Intron (ENSMUST00000112751.1/12043, intron 1 of 1)",1,106546496,106546631,136,2,102466254,ENSMUST00000183743.1,-42311,ENSMUSG00000098344,Mir3473f,microRNA 3473f
chr1,106600776,106601188,413,*,"Intron (ENSMUST00000112751.1/12043, intron 1 of 1)",1,106546496,106546631,136,2,102466254,ENSMUST00000183743.1,-54145,ENSMUSG00000098344,Mir3473f,microRNA 3473f
chr1,106606919,106607345,427,*,"Intron (ENSMUST00000112751.1/12043, intron 1 of 1)",1,106546496,106546631,136,2,102466254,ENSMUST00000183743.1,-60288,ENSMUSG00000098344,Mir3473f,microRNA 3473f
chr1,106612594,106613057,464,*,"Intron (ENSMUST00000112751.1/12043, intron 1 of 1)",1,106546496,106546631,136,2,102466254,ENSMUST00000183743.1,-65963,ENSMUSG00000098344,Mir3473f,microRNA 3473f
chr1,106759857,106760139,283,*,Promoter (<=1kb),1,106720459,106759727,39269,2,70750,ENSMUST00000010049.5,-130,ENSMUSG00000009905,Kdsr,3-ketodihydrosphingosine reductase
chr1,120055312,120055680,369,*,"Exon (ENSMUST00000072886.10/319229, exon 11 of 14)",1,120067377,120074074,6698,2,170706,ENSMUST00000056089.7,18394,ENSMUSG00000050777,Tmem37,transmembrane protein 37
chr1,125504068,125504273,206,*,Distal Intergenic,1,125560595,125568573,7979,1,74150,ENSMUST00000190037.6,-56322,ENSMUSG00000026342,Slc35f5,"solute carrier family 35, member F5"
chr1,126748012,126748291,280,*,Promoter (9-10kb),1,126258401,126738202,479802,2,210356,ENSMUST00000160693.1,-9810,ENSMUSG00000049690,Nckap5,NCK-associated protein 5
chr1,127225739,127226023,285,*,"Intron (ENSMUST00000189427.6/107895, intron 1 of 7)",1,127205028,127398792,193765,1,107895,ENSMUST00000190921.1,20711,ENSMUSG00000036155,Mgat5,mannoside acetylglucosaminyltransferase 5
chr1,127291331,127291573,243,*,"Intron (ENSMUST00000189427.6/107895, intron 1 of 7)",1,127306762,127483704,176943,1,107895,ENSMUST00000171405.1,-15189,ENSMUSG00000036155,Mgat5,mannoside acetylglucosaminyltransferase 5
chr1,127296730,127297075,346,*,Promoter (9-10kb),1,127306762,127483704,176943,1,107895,ENSMUST00000171405.1,-9687,ENSMUSG00000036155,Mgat5,mannoside acetylglucosaminyltransferase 5
chr1,127354295,127354535,241,*,"Intron (ENSMUST00000189427.6/107895, intron 3 of 7)",1,127306762,127483704,176943,1,107895,ENSMUST00000171405.1,47533,ENSMUSG00000036155,Mgat5,mannoside acetylglucosaminyltransferase 5
chr1,127433542,127433787,246,*,"Intron (ENSMUST00000038361.10/107895, intron 12 of 17)",1,127491361,127500344,8984,2,72160,ENSMUST00000160111.7,66557,ENSMUSG00000026347,Tmem163,transmembrane protein 163
chr1,127638031,127638293,263,*,"Intron (ENSMUST00000027585.13/72160, intron 2 of 8)",1,127486558,127678021,191464,2,72160,ENSMUST00000160616.7,39728,ENSMUSG00000026347,Tmem163,transmembrane protein 163
chr1,128368802,128368985,184,*,Promoter (9-10kb),1,128331590,128359664,28075,2,17219,ENSMUST00000027601.10,-9138,ENSMUSG00000026355,Mcm6,minichromosome maintenance complex component 6
chr1,128611814,128612170,357,*,Distal Intergenic,1,128589099,128592293,3195,2,12767,ENSMUST00000142893.1,-19521,ENSMUSG00000045382,Cxcr4,chemokine (C-X-C motif) receptor 4
chr1,130691977,130692195,219,*,Promoter (7-8kb),1,130670261,130684071,13811,2,12270,ENSMUST00000189393.1,-7906,NA,C4bp-ps1,"complement component 4 binding protein, pseudogene 1"
chr1,130879615,130880210,596,*,Promoter (1-2kb),1,130878331,130880790,2460,1,69169,ENSMUST00000145446.1,1284,ENSMUSG00000042474,Fcmr,Fc fragment of IgM receptor
chr1,130880268,130880414,147,*,Promoter (1-2kb),1,130878331,130880790,2460,1,69169,ENSMUST00000145446.1,1937,ENSMUSG00000042474,Fcmr,Fc fragment of IgM receptor
chr1,130894653,130894833,181,*,Promoter (7-8kb),1,130882074,130887454,5381,2,93672,ENSMUST00000121040.7,-7199,ENSMUSG00000026420,Il24,interleukin 24
chr1,130904474,130904700,227,*,Promoter (6-7kb),1,130907415,130911226,3812,2,58181,ENSMUST00000188581.1,6526,ENSMUSG00000026416,Il20,interleukin 20
chr1,131010406,131010714,309,*,Promoter (9-10kb),1,131019845,131024974,5130,1,16153,ENSMUST00000016673.5,-9131,ENSMUSG00000016529,Il10,interleukin 10
chr1,131025982,131026149,168,*,Promoter (6-7kb),1,131019845,131024974,5130,1,16153,ENSMUST00000016673.5,6137,ENSMUSG00000016529,Il10,interleukin 10
chr1,131049349,131049590,242,*,Distal Intergenic,1,131056889,131072526,15638,2,17164,ENSMUST00000188459.3,22936,ENSMUSG00000016528,Mapkapk2,MAP kinase-activated protein kinase 2
chr1,131080644,131081021,378,*,Promoter (8-9kb),1,131056889,131072526,15638,2,17164,ENSMUST00000188459.3,-8118,ENSMUSG00000016528,Mapkapk2,MAP kinase-activated protein kinase 2
chr1,131089790,131090003,214,*,Promoter (7-8kb),1,131053700,131097826,44127,2,17164,ENSMUST00000016672.10,7823,ENSMUSG00000016528,Mapkapk2,MAP kinase-activated protein kinase 2
chr1,131378945,131379128,184,*,"Intron (ENSMUST00000097588.8/14270, intron 4 of 22)",1,131296641,131364064,67424,2,14270,ENSMUST00000185596.1,-14881,ENSMUSG00000026425,Srgap2,SLIT-ROBO Rho GTPase activating protein 2
chr1,135579700,135580027,328,*,Promoter (4-5kb),1,135584773,135599948,15176,1,215714,ENSMUST00000067468.5,-4746,NA,Gm4793,predicted gene 4793
chr1,136608528,136608793,266,*,Distal Intergenic,1,136624901,136630053,5153,1,226442,ENSMUST00000047734.14,-16108,ENSMUSG00000041483,Zfp281,zinc finger protein 281
chr1,136699218,136699432,215,*,Promoter (3-4kb),1,136696211,136726142,29932,1,100503474,ENSMUST00000181274.1,3007,NA,Platr22,pluripotency associated transcript 22
chr1,138190252,138190485,234,*,"Exon (ENSMUST00000187489.2/ENSMUST00000187489.2, exon 2 of 2)",1,138126209,138175708,49500,2,19264,ENSMUST00000183229.2,-14544,ENSMUSG00000026395,Ptprc,"protein tyrosine phosphatase, receptor type, C"
chr1,138620175,138620540,366,*,Promoter (<=1kb),1,138483837,138620141,136305,2,59125,ENSMUST00000187407.6,-34,ENSMUSG00000026393,Nek7,NIMA (never in mitosis gene a)-related expressed kinase 7
chr1,142894166,142894500,335,*,Distal Intergenic,1,143606161,143640581,34421,2,214498,ENSMUST00000162638.1,746081,ENSMUSG00000026361,Cdc73,"cell division cycle 73, Paf1/RNA polymerase II complex component"
chr1,143466166,143466382,217,*,Distal Intergenic,1,143606161,143640581,34421,2,214498,ENSMUST00000162638.1,174199,ENSMUSG00000026361,Cdc73,"cell division cycle 73, Paf1/RNA polymerase II complex component"
chr1,144273040,144273388,349,*,Distal Intergenic,1,144242296,144249242,6947,2,50778,ENSMUST00000189061.6,-23798,ENSMUSG00000026358,Rgs1,regulator of G-protein signaling 1
chr1,144283467,144283660,194,*,Distal Intergenic,1,144242296,144249242,6947,2,50778,ENSMUST00000189061.6,-34225,ENSMUSG00000026358,Rgs1,regulator of G-protein signaling 1
chr1,144306975,144307557,583,*,Distal Intergenic,1,144242296,144249242,6947,2,50778,ENSMUST00000189061.6,-57733,ENSMUSG00000026358,Rgs1,regulator of G-protein signaling 1
chr1,144316354,144316534,181,*,Distal Intergenic,1,144242296,144249242,6947,2,50778,ENSMUST00000189061.6,-67112,ENSMUSG00000026358,Rgs1,regulator of G-protein signaling 1
chr1,144337608,144337815,208,*,Distal Intergenic,1,144242296,144249242,6947,2,50778,ENSMUST00000189061.6,-88366,ENSMUSG00000026358,Rgs1,regulator of G-protein signaling 1
chr1,151973209,151973442,234,*,"Intron (ENSMUST00000187603.6/69399, intron 3 of 6)",1,151892903,151921227,28325,2,69399,ENSMUST00000128433.7,-51982,ENSMUSG00000032666,1700025G04Rik,RIKEN cDNA 1700025G04 gene
chr1,151979923,151980357,435,*,"Intron (ENSMUST00000187603.6/69399, intron 3 of 6)",1,151892903,151921227,28325,2,69399,ENSMUST00000128433.7,-58696,ENSMUSG00000032666,1700025G04Rik,RIKEN cDNA 1700025G04 gene
chr1,152008954,152009232,279,*,"Intron (ENSMUST00000187603.6/69399, intron 1 of 6)",1,151893237,152055292,162056,2,69399,ENSMUST00000121533.2,46060,ENSMUSG00000032666,1700025G04Rik,RIKEN cDNA 1700025G04 gene
chr1,153303574,153303755,182,*,"Intron (ENSMUST00000027752.14/226519, intron 1 of 27)",1,153218922,153332786,113865,2,226519,ENSMUST00000027752.14,29031,ENSMUSG00000026478,Lamc1,"laminin, gamma 1"
chr1,153305811,153305985,175,*,"Exon (ENSMUST00000110797.1/ENSMUST00000110797.1, exon 1 of 1)",1,153218922,153332786,113865,2,226519,ENSMUST00000027752.14,26801,ENSMUSG00000026478,Lamc1,"laminin, gamma 1"
chr1,153320234,153320691,458,*,"Intron (ENSMUST00000027752.14/226519, intron 1 of 27)",1,153218922,153332786,113865,2,226519,ENSMUST00000027752.14,12095,ENSMUSG00000026478,Lamc1,"laminin, gamma 1"
chr1,153749369,153749821,453,*,Promoter (<=1kb),1,153749426,153762401,12976,1,24014,ENSMUST00000086209.9,0,ENSMUSG00000066800,Rnasel,"ribonuclease L (2', 5'-oligoisoadenylate synthetase-dependent)"
chr1,155050288,155050486,199,*,"Intron (ENSMUST00000190720.1/ENSMUST00000190720.1, intron 1 of 3)",1,155063447,155083266,19820,2,671336,ENSMUST00000181160.2,32780,ENSMUSG00000096950,Gm9530,predicted gene 9530
chr1,155472574,155473042,469,*,Distal Intergenic,1,155520173,155527111,6939,2,433367,ENSMUST00000097531.2,54069,ENSMUSG00000073535,Gm5532,predicted gene 5532
chr1,160286554,160286724,171,*,Promoter (<=1kb),1,160226660,160287338,60679,2,29809,ENSMUST00000194824.5,614,ENSMUSG00000026721,Rabgap1l,RAB GTPase activating protein 1-like
chr1,160791428,160791817,390,*,Promoter (1-2kb),1,160672451,160792938,120488,2,29809,ENSMUST00000195442.5,1121,ENSMUSG00000026721,Rabgap1l,RAB GTPase activating protein 1-like
chr1,161707136,161707402,267,*,Distal Intergenic,1,161780689,161788495,7807,2,14103,ENSMUST00000000834.3,81093,ENSMUSG00000000817,Fasl,"Fas ligand (TNF superfamily, member 6)"
