chr,start,end,length,abs_summit,pileup,-log10pval,fold_enrichment,-log10qval,name
18,80766360,80766516,157,80766482,18.00,6.97199,3.65637,3.92655,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8_peak_56154
18,80774947,80775182,236,80775054,15.00,4.96505,3.03603,2.41532,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8_peak_56155
18,80783399,80783561,163,80783517,17.00,3.81162,2.39657,1.51723,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8_peak_56156
18,80785851,80786171,321,80785913,13.00,3.90744,2.69597,1.54624,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8_peak_56157
18,80737590,80738307,718,80737669,21.00,6.23635,3.07798,3.55995,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8_peak_52337a
18,80737590,80738307,718,80737880,19.00,4.98218,2.73910,2.49908,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8_peak_52337b
18,80737590,80738307,718,80738198,27.00,9.73084,3.83474,6.47287,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8_peak_52337c
18,80738580,80738849,270,80738745,22.00,6.71430,3.18041,3.96651,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8_peak_52338
18,80768905,80769110,206,80769016,16.00,4.53786,2.76158,2.12534,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8_peak_52339
18,80738300,80738503,204,80738397,11.21,9.08008,6.10387,4.82197,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT_peak_3428
18,80738703,80738893,191,80738789,11.94,7.25931,5.23704,3.60226,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TN_peak_4619
18,80738667,80738926,260,80738820,9.36,4.92597,3.84143,2.39609,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP_peak_27253
18,80737960,80738194,235,80738030,14.83,6.28117,4.01695,3.49490,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory_peak_30092
18,80737791,80738001,211,80737879,12.12,3.99811,2.85029,1.91009,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE_peak_41827
18,80738704,80738850,147,80738774,13.85,4.67369,3.26819,2.54027,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE_peak_41828
18,80737861,80738268,408,80738012,22.55,20.16662,10.13941,15.59997,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN_peak_29708
18,80738602,80739487,886,80738824,23.73,20.38925,10.01155,15.81042,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN_peak_29709a
18,80738602,80739487,886,80739135,19.50,13.19086,6.83322,9.63100,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN_peak_29709b
18,80737960,80738219,260,80738015,4.09,4.18263,3.62092,1.64502,2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4_peak_19212
18,80738165,80738650,486,80738299,17.41,6.60524,3.68256,3.22564,2021_GoldrathLab_Brd4___BRD4_NAV-CD8_peak_6171a
18,80738165,80738650,486,80738493,20.78,8.77423,4.38378,5.20758,2021_GoldrathLab_Brd4___BRD4_NAV-CD8_peak_6171b
